product_id,product_name,category,subcategory,brand,cost,selling_price
P2034,Nordik Accessories,Electronics,Accessories,Petal,2104.09,2651.24
P2035,Solace Laptops Max,Electronics,Laptops,Aurex,,14664.13
P2036,Marvo Accessories Classic,Electronics,Accessories,Klipso,1811.45,2186.57
P2037,Petal Headphones Classic,Electronics,Headphones,Trekko,5564.61,8260.59
P2038,Nimbus Laptops,Electronics,Laptops,Vantra,7035.1,8995.39
P2039,Orenda Laptops Pro,Electronics,Laptops,Vantra,8440.0,10585.53
P2040,Solace Accessories Pro,Electronics,Accessories,Craveon,6047.34,7758.99
P2041,Marvo Accessories Air,Electronics,Accessories,Bexley,12071.91,18345.71
P2042,Vantra Mobiles Lite,Electronics,Mobiles,Forgeon,11405.6,15119.64
P2043,Craveon Headphones,Electronics,Headphones,Orenda,7589.81,9108.0
P2044,Solace Cameras Air,Electronics,Cameras,Nimbus,11215.63,15573.91
P2045,Klipso Mobiles Pro,Electronics,Mobiles,Klipso,13541.48,16659.33
P2046,Vantra Laptops,Electronics,Laptops,Trekko,11407.91,16243.37
P2047,Zylo Accessories,Electronics,Accessories,Vantra,4024.39,5702.37
P2048,Solace Laptops,Electronics,Laptops,Nimbus,13869.38,21045.04
P2049,Lumex Headphones Lite,Electronics,Headphones,Orenda,,12637.52
P2050,Nimbus Accessories Pro,Electronics,Accessories,Zylo,13090.35,18498.12
P2051,Urbana Headphones Air,Electronics,Headphones,Vantra,4690.99,5745.99
P2052,Urbana Cameras Pro,Electronics,Cameras,Solace,1787.25,2091.25
P2053,Nimbus Cameras,Electronics,Cameras,Nimbus,11323.84,14090.68
P2054,Urbana Laptops Max,Electronics,Laptops,Marvo,412.58,540.03
P2055,Nordik Laptops,Electronics,Laptops,Solace,7264.98,8846.51
P2056,Petal Headphones Classic,Electronics,Headphones,Vantra,708.52,868.4
P2057,Klipso Accessories Pro,Electronics,Accessories,Trekko,10202.59,12068.62
P2058,Solace Headphones,Electronics,Headphones,Trekko,8347.8,10088.86
P2059,Lumex Headphones Air,Electronics,Headphones,Petal,2975.55,3889.73
P2060,Aurex Cameras Air,Electronics,Cameras,Forgeon,1557.34,1898.84
P2061,Vantra Cameras Classic,Electronics,Cameras,Aurex,,6751.39
P2062,Nimbus Accessories,Electronics,Accessories,Urbana,11251.61,13275.92
P2063,Vantra Cameras Classic,Electronics,Cameras,Nimbus,12913.74,19067.05
P2064,Marvo Mobiles,Electronics,Mobiles,Trekko,11501.58,0.0
P2065,Nordik Accessories Pro,Electronics,Accessories,Aurex,12352.08,15108.09
P2066,Orenda Laptops,Electronics,Laptops,Lumex,1909.92,2230.75
P2067,Aurex Accessories,Electronics,Accessories,Aurex,14092.69,0.0
P2068,Aurex Headphones Air,Electronics,Headphones,Klipso,13768.39,17335.03
P2069,Bexley Mobiles Lite,Electronics,Mobiles,Nimbus,13618.11,20584.75
P2070,Marvo Laptops,Electronics,Laptops,Aurex,13858.96,18688.27
P2071,Orenda Laptops Air,Electronics,Laptops,Craveon,12995.9,19887.71
P2072,Zylo Laptops Classic,Electronics,Laptops,Urbana,4903.02,6459.97
P2073,Trekko Cameras Lite,Electronics,Cameras,Solace,10802.64,13720.91
P2074,Nimbus Headphones Lite,Electronics,Headphones,Bexley,11319.45,13351.93
P2075,Orenda Mobiles Classic,Electronics,Mobiles,Craveon,7876.3,9443.1
P2076,Solace Cameras Air,Electronics,Cameras,Orenda,4435.19,5559.29
P2077,Nordik Mobiles,Electronics,Mobiles,Klipso,12592.03,15455.54
P2078,Trekko Laptops Max,Electronics,Laptops,Nimbus,,17811.04
P2079,Bexley Headphones Classic,Electronics,Headphones,Vantra,7508.3,9336.85
P2080,Bexley Mobiles Plus,Electronics,Mobiles,Klipso,3442.1,4598.54
P2081,Lumex Mobiles Max,Electronics,Mobiles,Petal,181.69,247.56
P2082,Trekko Headphones Max,Electronics,Headphones,Petal,14294.05,17322.71
P2083,Forgeon Mobiles Air,Electronics,Mobiles,Urbana,8621.52,13231.55
P2084,Urbana Laptops Classic,Electronics,Laptops,Marvo,12914.81,19245.03
P2085,Zylo Headphones Max,Electronics,Headphones,Nimbus,12336.66,15712.09
P2086,Nordik Mobiles Classic,Electronics,Mobiles,Vantra,13364.72,20401.73
P2087,Marvo Laptops Pro,Electronics,Laptops,Marvo,7462.1,9639.75
P2088,Klipso Mobiles,Electronics,Mobiles,Klipso,6242.72,8013.67
P2089,Aurex Accessories Pro,Electronics,Accessories,Klipso,,4507.47
P2090,Forgeon Cameras Lite,Electronics,Cameras,Petal,8460.82,11295.48
P2091,Nimbus Accessories Plus,Electronics,Accessories,Klipso,1482.89,2178.01
P2092,Solace Cameras Lite,Electronics,Cameras,Aurex,2665.26,3187.18
P2093,Urbana Cameras Max,Electronics,Cameras,Urbana,9364.92,12262.97
P2094,Orenda Laptops Pro,Electronics,Laptops,Vantra,944.14,1220.04
P2095,Bexley Accessories Max,Electronics,Accessories,Orenda,11588.12,16178.17
P2096,Trekko Laptops,Electronics,Laptops,Klipso,5473.65,6714.65
P2097,Vantra Accessories Air,Electronics,Accessories,Forgeon,9495.34,14290.7
P2098,Solace Cameras Pro,Electronics,Cameras,Klipso,9711.78,14326.44
P2099,Forgeon Accessories Classic,Electronics,Accessories,Nordik,7846.84,11277.39
P2100,Marvo Cameras Lite,Electronics,Cameras,Trekko,13448.59,19625.15
P2101,Trekko Accessories Classic,Electronics,Accessories,Urbana,13652.32,18054.59
P2102,Aurex Accessories Plus,Electronics,Accessories,Craveon,13568.09,18976.7
P2103,Klipso Accessories Lite,Electronics,Accessories,Nordik,13057.23,15221.47
P2104,Lumex Cameras Lite,Electronics,Cameras,Craveon,9884.89,14720.48
P2105,Craveon Cameras Air,Electronics,Cameras,Forgeon,2654.32,3755.11
P2106,Nordik Laptops,Electronics,Laptops,Petal,12383.07,15666.81
P2107,Marvo Accessories Max,Electronics,Accessories,Marvo,6108.43,8416.24
P2108,Urbana Headphones,Electronics,Headphones,Zylo,7811.56,9105.75
P2109,Trekko Headphones Plus,Electronics,Headphones,Zylo,1525.15,1815.21
P2110,Urbana Accessories Air,Electronics,Accessories,Lumex,3970.91,4957.07
P2111,Vantra Mobiles Max,Electronics,Mobiles,Klipso,,15371.73
P2112,Craveon Laptops Pro,Electronics,Laptops,Trekko,11471.44,13512.88
P2113,Vantra Cameras,Electronics,Cameras,Trekko,7303.95,9345.48
P2114,Urbana Accessories Max,Electronics,Accessories,Vantra,12756.59,18281.67
P2115,Forgeon Footwear,Fashion,Footwear,Klipso,13045.41,15244.49
P2116,Klipso Women's Wear Max,Fashion,Women's Wear,Zylo,10826.31,14788.78
P2117,Solace Bags Air,Fashion,Bags,Craveon,,16753.53
P2118,Nordik Watches,Fashion,Watches,Bexley,8126.13,9513.32
P2119,Nimbus Watches Lite,Fashion,Watches,Petal,10044.42,12648.5
P2120,Aurex Footwear Max,Fashion,Footwear,Nimbus,344.42,405.24
P2121,Petal Bags Air,Fashion,Bags,Vantra,14361.42,18503.7
P2122,Zylo Bags Plus,Fashion,Bags,Vantra,13027.73,19982.86
P2123,Bexley Women's Wear Max,Fashion,Women's Wear,Solace,14151.84,21265.83
P2124,Orenda Bags Plus,Fashion,Bags,Vantra,13427.92,16994.42
P2125,Lumex Men's Wear Max,Fashion,Men's Wear,Forgeon,2314.47,3253.46
P2126,Vantra Watches Lite,Fashion,Watches,Klipso,7347.18,8739.46
P2127,Craveon Women's Wear Pro,Fashion,Women's Wear,Klipso,10179.24,13997.92
P2128,Aurex Footwear Air,Fashion,Footwear,Aurex,12952.86,18052.06
P2129,Nimbus Men's Wear Plus,Fashion,Men's Wear,Trekko,8630.5,11446.64
P2130,Bexley Bags Plus,Fashion,Bags,Lumex,6968.67,10674.28
P2131,Nordik Men's Wear Air,Fashion,Men's Wear,Zylo,2119.77,2816.09
P2132,Vantra Watches Air,Fashion,Watches,Aurex,9854.62,13039.68
P2133,Zylo Women's Wear Classic,Fashion,Women's Wear,Aurex,4284.07,5419.1
P2134,Lumex Men's Wear Pro,Fashion,Men's Wear,Aurex,3543.16,4562.04
P2135,Bexley Bags Lite,Fashion,Bags,Aurex,13081.54,17687.42
P2136,Zylo Men's Wear Max,Fashion,Men's Wear,Solace,3641.57,4747.92
P2137,Lumex Footwear Lite,Fashion,Footwear,Nordik,1632.16,2467.2
P2138,Solace Watches Classic,Fashion,Watches,Klipso,6152.56,9488.21
P2139,Solace Women's Wear Max,Fashion,Women's Wear,Nimbus,5245.7,7787.46
P2140,Lumex Watches Plus,Fashion,Watches,Urbana,3882.96,4583.68
P2141,Zylo Footwear Plus,Fashion,Footwear,Orenda,524.41,730.22
P2142,Klipso Women's Wear Plus,Fashion,Women's Wear,Trekko,4708.03,6249.48
P2143,Vantra Women's Wear,Fashion,Women's Wear,Aurex,12288.77,15351.66
P2144,Lumex Bags,Fashion,Bags,Orenda,4664.35,6941.18
P2145,Petal Women's Wear Lite,Fashion,Women's Wear,Klipso,7416.8,10984.77
P2146,Solace Bags Air,Fashion,Bags,Vantra,5648.42,7395.75
P2147,Klipso Men's Wear Plus,Fashion,Men's Wear,Vantra,2548.72,3865.23
P2148,Urbana Women's Wear Pro,Fashion,Women's Wear,Petal,13456.92,20773.27
P2149,Trekko Women's Wear Plus,Fashion,Women's Wear,Marvo,6066.58,8963.04
P2150,Zylo Watches,Fashion,Watches,Nordik,6253.56,8327.99
P2151,Craveon Women's Wear Classic,Fashion,Women's Wear,Marvo,12458.49,15211.15
P2152,Nordik Bags Lite,Fashion,Bags,Orenda,3343.65,4266.13
P2153,Petal Footwear Pro,Fashion,Footwear,Vantra,11833.28,15372.15
P2154,Bexley Women's Wear Lite,Fashion,Women's Wear,Forgeon,5404.61,8374.59
P2155,Orenda Bags Plus,Fashion,Bags,Vantra,5787.9,7229.71
P2156,Vantra Women's Wear Classic,Fashion,Women's Wear,Trekko,9367.04,13776.59
P2157,Nordik Men's Wear Max,Fashion,Men's Wear,Trekko,1090.64,1524.23
P2158,Klipso Women's Wear Pro,Fashion,Women's Wear,Orenda,584.25,794.89
P2159,Craveon Women's Wear Plus,Fashion,Women's Wear,Craveon,,4953.21
P2160,Forgeon Men's Wear Plus,Fashion,Men's Wear,Lumex,7033.08,10696.21
P2161,Marvo Men's Wear,Fashion,Men's Wear,Craveon,10674.48,16275.79
P2162,Nordik Watches Lite,Fashion,Watches,Zylo,9916.57,11432.25
P2163,Marvo Bags Max,Fashion,Bags,Petal,4020.5,6080.24
P2164,Trekko Bags Plus,Fashion,Bags,Lumex,9669.51,14916.76
P2165,Petal Footwear,Fashion,Footwear,Solace,2381.66,3021.61
P2166,Lumex Women's Wear Max,Fashion,Women's Wear,Aurex,5467.4,7001.68
P2167,Nimbus Footwear,Fashion,Footwear,Klipso,3817.27,5066.99
P2168,Bexley Watches Max,Fashion,Watches,Orenda,9652.36,12301.96
P2169,Zylo Women's Wear Air,Fashion,Women's Wear,Petal,1241.51,1779.6
P2170,Aurex Women's Wear Air,Fashion,Women's Wear,Vantra,6912.3,9487.77
P2171,Lumex Bags Max,Fashion,Bags,Nimbus,6858.24,10329.49
P2172,Forgeon Footwear Pro,Fashion,Footwear,Solace,,12767.13
P2173,Lumex Bags Classic,Fashion,Bags,Nordik,7683.1,9734.76
P2174,Forgeon Men's Wear Plus,Fashion,Men's Wear,Urbana,5363.87,7288.7
P2175,Petal Watches Max,Fashion,Watches,Vantra,7973.34,11361.49
P2176,Zylo Women's Wear Pro,Fashion,Women's Wear,Zylo,3406.2,4814.79
P2177,Nimbus Women's Wear Air,Fashion,Women's Wear,Petal,11689.89,16607.09
P2178,Bexley Footwear Pro,Fashion,Footwear,Klipso,7253.33,11218.52
P2179,Lumex Women's Wear Pro,Fashion,Women's Wear,Orenda,6101.96,7277.42
P2180,Urbana Men's Wear,Fashion,Men's Wear,Vantra,12331.49,15227.92
P2181,Orenda Men's Wear Plus,Fashion,Men's Wear,Klipso,10713.62,13087.66
P2182,Solace Footwear Classic,Fashion,Footwear,Bexley,302.32,366.99
P2183,Lumex Bags Air,Fashion,Bags,Trekko,5685.98,6781.37
P2184,Craveon Men's Wear Max,Fashion,Men's Wear,Bexley,3005.3,4375.27
P2185,Urbana Footwear Pro,Fashion,Footwear,Forgeon,11559.76,17073.71
P2186,Nimbus Bags,Fashion,Bags,Lumex,12625.27,16642.31
P2187,Solace Watches Plus,Fashion,Watches,Forgeon,13019.87,17711.9
P2188,Orenda Women's Wear Air,Fashion,Women's Wear,Vantra,7085.43,10184.7
P2189,Solace Men's Wear Pro,Fashion,Men's Wear,Lumex,3246.59,4758.85
P2190,Lumex Bags Classic,Fashion,Bags,Petal,6470.51,7770.55
P2191,Orenda Footwear Max,Fashion,Footwear,Bexley,1833.71,2229.72
P2192,Solace Men's Wear Classic,Fashion,Men's Wear,Zylo,13364.06,20665.85
P2193,Nimbus Footwear Pro,Fashion,Footwear,Craveon,5386.76,6824.26
P2194,Petal Women's Wear Pro,Fashion,Women's Wear,Lumex,3320.63,4912.96
P2195,Forgeon Footwear,Fashion,Footwear,Urbana,3177.65,4828.87
P2196,Lumex Men's Wear Lite,Fashion,Men's Wear,Forgeon,10026.89,15129.08
P2197,Bexley Bags,Fashion,Bags,Vantra,8332.45,11884.34
P2198,Zylo Women's Wear Classic,Fashion,Women's Wear,Vantra,9310.9,13803.21
P2199,Trekko Footwear Plus,Fashion,Footwear,Lumex,12546.12,17387.88
P2200,Aurex Watches Air,Fashion,Watches,Nordik,9505.99,14437.23
P2201,Lumex Bags Plus,Fashion,Bags,Orenda,13951.5,19751.14
P2202,Vantra Footwear Max,Fashion,Footwear,Trekko,165.93,197.75
P2203,Aurex Footwear Pro,Fashion,Footwear,Bexley,12876.24,15244.0
P2204,Bexley Bags Max,Fashion,Bags,Craveon,3242.11,4027.41
P2205,Urbana Footwear,Fashion,Footwear,Lumex,9023.51,12458.34
P2206,Zylo Women's Wear Classic,Fashion,Women's Wear,Nimbus,4376.79,5396.78
P2207,Lumex Men's Wear,Fashion,Men's Wear,Lumex,11479.75,17497.23
P2208,Vantra Women's Wear Air,Fashion,Women's Wear,Urbana,839.44,1010.07
P2209,Bexley Footwear Pro,Fashion,Footwear,Petal,9650.35,14203.16
P2210,Urbana Men's Wear Lite,Fashion,Men's Wear,Nordik,11878.27,17079.45
P2211,Craveon Men's Wear Pro,Fashion,Men's Wear,Marvo,13317.05,16472.39
P2212,Vantra Women's Wear Classic,Fashion,Women's Wear,Aurex,1654.0,2309.22
P2213,Lumex Men's Wear Air,Fashion,Men's Wear,Marvo,12343.02,17068.14
P2214,Forgeon Women's Wear,Fashion,Women's Wear,Nordik,14446.81,21211.18
P2215,Aurex Watches Air,Fashion,Watches,Urbana,10526.84,12359.59
P2216,Orenda Footwear Plus,Fashion,Footwear,Zylo,1660.75,2431.23
P2217,Marvo Watches,Fashion,Watches,Urbana,3013.66,3500.47
P2218,Craveon Watches Classic,Fashion,Watches,Bexley,13665.87,20585.2
P2219,Forgeon Men's Wear Classic,Fashion,Men's Wear,Forgeon,3316.33,4848.75
P2220,Solace Bags Lite,Fashion,Bags,Nimbus,767.3,969.89
P2221,Craveon Watches Air,Fashion,Watches,Marvo,9373.82,13641.45
P2222,Craveon Footwear,Fashion,Footwear,Aurex,205.47,263.1
P2223,Orenda Watches Pro,Fashion,Watches,Zylo,3254.47,5042.84
P2224,Bexley Footwear Classic,Fashion,Footwear,Vantra,10081.18,13229.22
P2225,Trekko Men's Wear Lite,Fashion,Men's Wear,Nimbus,1181.01,1640.98
P2226,Marvo Women's Wear Air,Fashion,Women's Wear,Lumex,9643.44,14239.14
P2227,Forgeon Watches,Fashion,Watches,Marvo,4364.22,6732.12
P2228,Nimbus Bags,Fashion,Bags,Aurex,6620.01,8396.67
P2229,Urbana Decor Plus,Home,Decor,Zylo,5259.32,7141.29
P2230,Craveon Kitchen,Home,Kitchen,Urbana,14053.69,20294.42
P2231,Forgeon Decor Classic,Home,Decor,Klipso,8677.79,10544.59
P2232,Bexley Decor Lite,Home,Decor,Urbana,2282.83,3083.83
P2233,Vantra Decor Classic,Home,Decor,Solace,10944.2,15873.52
P2234,Petal Furniture Pro,Home,Furniture,Solace,3427.42,4078.77
P2235,Nimbus Kitchen Max,Home,Kitchen,Orenda,5797.69,8796.66
P2236,Bexley Decor,Home,Decor,Vantra,8203.24,10484.07
P2237,Aurex Bedding Pro,Home,Bedding,Nimbus,4888.38,5879.91
P2238,Trekko Furniture Pro,Home,Furniture,Urbana,7124.69,10448.68
P2239,Craveon Decor Air,Home,Decor,Solace,14529.95,19624.7
P2240,Trekko Furniture Max,Home,Furniture,Klipso,2549.86,3628.91
P2241,Zylo Decor Plus,Home,Decor,Zylo,11364.03,13394.55
P2242,Nordik Bedding Lite,Home,Bedding,Forgeon,12759.58,18906.24
P2243,Urbana Kitchen Max,Home,Kitchen,Trekko,7114.49,9776.51
P2244,Orenda Furniture Lite,Home,Furniture,Orenda,10715.45,15223.43
P2245,Urbana Kitchen Plus,Home,Kitchen,Zylo,297.21,356.35
P2246,Solace Bedding,Home,Bedding,Nordik,2480.73,3602.69
P2247,Urbana Decor Plus,Home,Decor,Orenda,6629.25,9070.15
P2248,Nimbus Kitchen Max,Home,Kitchen,Trekko,11601.68,14924.32
P2249,Nordik Decor,Home,Decor,Nordik,11245.91,14922.42
P2250,Petal Decor Pro,Home,Decor,Marvo,5688.84,7300.0
P2251,Zylo Furniture Lite,Home,Furniture,Nimbus,14475.92,21117.32
P2252,Marvo Decor,Home,Decor,Trekko,351.93,539.5
P2253,Nimbus Furniture Pro,Home,Furniture,Orenda,11642.82,14083.97
P2254,Forgeon Bedding Air,Home,Bedding,Lumex,1191.25,1516.79
P2255,Nimbus Kitchen Classic,Home,Kitchen,Orenda,9381.51,13102.39
P2256,Aurex Furniture Pro,Home,Furniture,Bexley,4173.96,5544.15
P2257,Craveon Decor Classic,Home,Decor,Craveon,3217.76,3765.52
P2258,Nordik Decor Lite,Home,Decor,Lumex,7778.71,10025.17
P2259,Nordik Furniture Plus,Home,Furniture,Nordik,8166.09,12482.71
P2260,Lumex Bedding Lite,Home,Bedding,Bexley,2193.39,2524.12
P2261,Marvo Kitchen Max,Home,Kitchen,Urbana,1199.33,1601.21
P2262,Klipso Bedding Max,Home,Bedding,Craveon,10618.63,14678.19
P2263,Zylo Decor Air,Home,Decor,Bexley,7448.67,9620.59
P2264,Klipso Bedding Plus,Home,Bedding,Bexley,4684.11,6091.75
P2265,Solace Decor,Home,Decor,Petal,9193.94,11189.96
P2266,Lumex Bedding Classic,Home,Bedding,Orenda,11581.86,15984.14
P2267,Urbana Decor Classic,Home,Decor,Forgeon,4073.89,5501.63
P2268,Lumex Bedding Pro,Home,Bedding,Marvo,14443.54,16728.46
P2269,Forgeon Bedding Max,Home,Bedding,Nimbus,3032.86,4031.74
P2270,Zylo Furniture Plus,Home,Furniture,Vantra,9594.67,11848.37
P2271,Urbana Kitchen Max,Home,Kitchen,Vantra,13974.49,19662.51
P2272,Trekko Kitchen Lite,Home,Kitchen,Zylo,13167.61,16877.28
P2273,Nordik Bedding Plus,Home,Bedding,Marvo,12442.86,16191.74
P2274,Bexley Furniture Lite,Home,Furniture,Bexley,3828.64,5799.1
P2275,Aurex Decor Pro,Home,Decor,Urbana,1428.67,2181.8
P2276,Bexley Decor Plus,Home,Decor,Zylo,6904.8,10682.07
P2277,Vantra Furniture,Home,Furniture,Aurex,8116.94,11793.88
P2278,Lumex Decor Max,Home,Decor,Vantra,155.71,210.0
P2279,Aurex Furniture,Home,Furniture,Vantra,,16204.07
P2280,Marvo Kitchen,Home,Kitchen,Nimbus,2412.83,3179.12
P2281,Marvo Kitchen Classic,Home,Kitchen,Trekko,6315.13,7524.2
P2282,Petal Bedding Air,Home,Bedding,Solace,6673.53,9829.02
P2283,Aurex Bedding Max,Home,Bedding,Orenda,4537.7,6003.51
P2284,Zylo Kitchen Lite,Home,Kitchen,Petal,,16761.63
P2285,Lumex Kitchen Plus,Home,Kitchen,Lumex,,12871.86
P2286,Aurex Kitchen Air,Home,Kitchen,Orenda,11425.19,16410.86
P2287,Nimbus Bedding Max,Home,Bedding,Aurex,10910.45,12804.56
P2288,Nordik Bedding Pro,Home,Bedding,Nordik,8035.34,11757.21
P2289,Urbana Kitchen Max,Home,Kitchen,Urbana,1456.27,1681.73
P2290,Vantra Furniture Lite,Home,Furniture,Zylo,12227.7,17545.74
P2291,Zylo Decor Max,Home,Decor,Lumex,6212.49,9481.24
P2292,Solace Decor Max,Home,Decor,Orenda,11510.64,17693.52
P2293,Aurex Bedding Lite,Home,Bedding,Orenda,13943.26,18719.07
P2294,Nimbus Kitchen Plus,Home,Kitchen,Vantra,11332.9,16066.39
P2295,Trekko Decor Classic,Home,Decor,Urbana,12181.11,17846.24
P2296,Petal Bedding,Home,Bedding,Lumex,2340.82,2910.8
P2297,Forgeon Bedding,Home,Bedding,Lumex,4022.69,5943.12
P2298,Craveon Bedding Pro,Home,Bedding,Nimbus,12170.59,16407.59
P2299,Trekko Furniture Plus,Home,Furniture,Lumex,8733.44,12932.21
P2300,Trekko Decor Lite,Home,Decor,Lumex,4723.27,5526.56
P2301,Petal Decor,Home,Decor,Klipso,7264.82,11009.74
P2302,Bexley Decor Pro,Home,Decor,Craveon,11867.5,15387.96
P2303,Nordik Kitchen Air,Home,Kitchen,Orenda,1018.33,1430.52
P2304,Marvo Furniture Max,Home,Furniture,Lumex,12525.64,17736.05
P2305,Petal Furniture Max,Home,Furniture,Lumex,6404.87,7681.63
P2306,Marvo Kitchen Lite,Home,Kitchen,Nordik,13666.07,17224.49
P2307,Vantra Kitchen Plus,Home,Kitchen,Trekko,3403.09,5024.29
P2308,Aurex Furniture Pro,Home,Furniture,Bexley,14719.24,20813.95
P2309,Urbana Kitchen Lite,Home,Kitchen,Orenda,9390.92,11999.46
P2310,Marvo Furniture Classic,Home,Furniture,Nordik,355.18,435.71
P2311,Trekko Kitchen Pro,Home,Kitchen,Lumex,8787.24,10637.19
P2312,Forgeon Decor Lite,Home,Decor,Trekko,13263.35,16251.02
P2313,Vantra Furniture Air,Home,Furniture,Nimbus,7855.46,10642.62
P2314,Urbana Kitchen Classic,Home,Kitchen,Orenda,9078.99,11629.95
P2315,Forgeon Kitchen Lite,Home,Kitchen,Trekko,13109.34,17405.54
P2316,Bexley Kitchen Lite,Home,Kitchen,Klipso,10517.3,14770.12
P2317,Petal Decor Pro,Home,Decor,Nimbus,1801.48,2520.37
P2318,Zylo Bedding Pro,Home,Bedding,Lumex,,12502.72
P2319,Urbana Furniture Lite,Home,Furniture,Solace,13219.11,16000.17
P2320,Zylo Bedding Pro,Home,Bedding,Aurex,1271.19,1611.66
P2321,Petal Decor,Home,Decor,Nordik,14799.86,17147.55
P2322,Vantra Furniture Air,Home,Furniture,Aurex,10109.74,14086.97
P2323,Urbana Kitchen Lite,Home,Kitchen,Vantra,9716.35,12022.18
P2324,Klipso Furniture,Home,Furniture,Orenda,3439.42,4547.8
P2325,Marvo Kitchen Max,Home,Kitchen,Zylo,1483.07,1749.79
P2326,Orenda Kitchen Lite,Home,Kitchen,Bexley,1370.97,1890.83
P2327,Nimbus Furniture,Home,Furniture,Petal,5996.24,7599.91
P2328,Zylo Kitchen Plus,Home,Kitchen,Orenda,4771.5,5882.85
P2329,Marvo Bedding Classic,Home,Bedding,Lumex,6202.0,7636.05
P2330,Vantra Kitchen Pro,Home,Kitchen,Solace,10485.79,12578.47
P2331,Forgeon Furniture Plus,Home,Furniture,Klipso,14226.22,16871.27
P2332,Nordik Bedding Lite,Home,Bedding,Aurex,14154.74,20995.98
P2333,Solace Bedding Lite,Home,Bedding,Petal,10226.65,15492.56
P2334,Orenda Decor Plus,Home,Decor,Marvo,2131.32,2601.33
P2335,Trekko Furniture Classic,Home,Furniture,Marvo,3819.68,4766.67
P2336,Marvo Furniture Max,Home,Furniture,Lumex,4697.18,6483.29
P2337,Vantra Furniture Classic,Home,Furniture,Lumex,471.18,613.9
P2338,Orenda Decor Air,Home,Decor,Forgeon,3733.46,5199.41
P2339,Lumex Decor Max,Home,Decor,Forgeon,14778.28,20055.04
P2340,Aurex Bedding Classic,Home,Bedding,Nordik,6413.99,8320.85
P2341,Urbana Decor Air,Home,Decor,Vantra,11784.99,13892.06
P2342,Urbana Kitchen Pro,Home,Kitchen,Vantra,14398.57,18965.32
P2343,Lumex Makeup Pro,Beauty,Makeup,Nordik,4739.83,7297.57
P2344,Bexley Fragrance Max,Beauty,Fragrance,Craveon,14041.39,19753.06
P2345,Urbana Fragrance,Beauty,Fragrance,Forgeon,326.69,473.51
P2346,Nimbus Fragrance,Beauty,Fragrance,Solace,5066.58,6613.47
P2347,Nordik Skincare,Beauty,Skincare,Nimbus,2423.19,3294.04
P2348,Petal Skincare Classic,Beauty,Skincare,Bexley,11181.06,14079.24
P2349,Craveon Makeup Classic,Beauty,Makeup,Forgeon,14084.06,17293.74
P2350,Bexley Skincare Classic,Beauty,Skincare,Forgeon,1040.62,1464.93
