order_id,customer_id,order_date,order_status,payment_method,discount,shipping_cost
O500049,C106614,2024-11-06 09:20:33,Pending,UPI,0.15,99.0
O500050,C103666,2024-04-22 22:28:05,Pending,Wallet,0.15,99.0
O500051,C109756,2024-10-29 15:13:04,Pending,Debit Card,0.0,99.0
O500052,C114384,2025-01-10 08:26:16,Returned,Credit Card,0.15,49.0
O500053,C109394,2024-06-10 19:11:38,Returned,Credit Card,0.15,99.0
O500054,C114376,2024-11-15 16:56:37,Completed,Credit Card,0.1,0.0
O500055,C999999,2025-03-15 23:59:21,Pending,UPI,0.15,0.0
O500056,C113785,2025-08-08 05:00:43,Cancelled,Debit Card,0.15,49.0
O500057,C101699,2025-12-27 21:08:25,Completed,Debit Card,0.0,149.0
O500058,C105429,2024-10-14 10:43:32,Completed,COD,0.0,0.0
O500059,C107506,2024-02-06 14:30:56,Completed,Debit Card,0.0,49.0
O500060,C109834,2025-10-18 14:35:07,Pending,UPI,0.1,49.0
O500061,C104493,2024-02-17 05:08:14,Completed,COD,0.0,49.0
O500062,C113922,2025-11-21 19:28:44,Completed,COD,0.1,0.0
O500063,C113616,2025-08-03 14:55:14,Pending,UPI,0.1,49.0
O500064,C112053,2023-10-10 17:37:15,Completed,DEBIT CARD,0.1,0.0
O500065,C101720,2023-11-12 22:14:58,Pending,Debit Card,,99.0
O500066,C101178,2024-12-14 11:12:34,Completed,Wallet,0.0,0.0
O500067,C107562,2025-08-31 13:12:13,Pending,Debit Card,0.0,0.0
O500068,C111505,2025-12-19 10:50:23,Completed,COD,0.05,49.0
O500069,C101865,2023-11-03 20:39:55,Pending,Credit Card,0.0,49.0
O500070,C109675,2025-03-10 23:30:15,Completed,COD,0.15,0.0
O500071,C107965,2025-11-19 17:13:41,Completed,COD,0.0,49.0
O500072,C110908,2025-08-13 09:14:12,Completed,Debit Card,0.2,0.0
O500073,C106595,2024-06-16 19:30:14,Pending,COD,0.15,99.0
O500074,C110406,2025-11-05 12:29:32,Pending,NET BANKING,0.0,49.0
O500075,C102445,2024-04-14 02:38:14,Cancelled,Credit Card,0.2,49.0
O500076,C103279,2023-12-11 14:01:35,Completed,  Net Banking  ,0.0,99.0
O500077,C113613,2025-05-09 10:32:02,Pending,COD,0.0,0.0
O500078,C104993,2025-12-20 23:37:25,Pending,Credit Card,0.0,49.0
O500079,C114879,2024-01-24 00:02:58,Cancelled,Net Banking,0.2,149.0
O500080,C100709,2023-08-28 06:38:33,Completed,UPI,0.0,149.0
O500081,C107530,2025-10-30 18:48:32,Completed,UPI,0.0,99.0
O500082,C104933,2024-08-04 15:41:39,Completed,COD,0.2,0.0
O500083,C107040,2025-10-07 14:05:17,Completed,UPI,0.0,0.0
O500084,C114932,2025-05-11 15:39:35,Completed,Credit Card,0.05,0.0
O500085,C103595,2025-08-28 13:59:09,Completed,Wallet,0.0,0.0
O500086,C104074,2024-03-04 03:33:16,Completed,Debit Card,0.0,0.0
O500087,C111282,2025-05-16 03:22:55,Returned,COD,0.1,0.0
O500088,C113383,2024-04-09 05:06:41,Pending,UPI,0.0,149.0
O500089,C109998,2025-10-05 05:40:54,Completed,Net Banking,0.05,0.0
O500090,C112998,2024-07-18 08:48:40,Completed,UPI,0.2,0.0
O500091,C100954,2024-08-23 07:39:05,Completed,COD,0.2,0.0
O500092,C109658,2025-10-09 19:24:09,Completed,Net Banking,0.0,0.0
O500093,C110517,2025-09-15 03:29:14,Pending,Net Banking,0.0,149.0
O500094,C102902,2025-01-18 09:13:54,Completed,Wallet,0.15,0.0
O500095,C111707,2025-01-11 23:48:07,Cancelled,Credit Card,0.05,0.0
O500096,C114227,2023-05-19 14:24:53,Completed,COD,0.05,0.0
O500097,C113523,2025-12-12 19:14:49,Returned,upi,0.15,49.0
O500098,C103731,2025-09-14 01:29:36,Completed,COD,0.1,99.0
O500099,C104919,2025-12-29 14:30:56,Pending,COD,0.15,49.0
O500100,C107591,2025-12-04 21:50:25,Pending,Net Banking,0.0,149.0
O500101,C102432,2025-02-04 04:03:27,Completed,Wallet,0.1,49.0
O500102,C114372,2025-11-29 18:36:27,Returned,Debit Card,0.0,49.0
O500103,C102479,2024-12-30 08:42:03,Completed,Net Banking,0.1,0.0
O500104,C111448,2025-07-13 13:42:16,Pending,Credit Card,0.05,
O500105,C105175,2025-10-22 01:40:40,Cancelled,COD,0.1,149.0
O500106,C108655,2024-09-20 07:29:20,Returned,COD,0.15,0.0
O500107,C100719,2024-06-28 20:33:27,Returned,UPI,0.0,
O500108,C103119,2024-08-20 22:30:58,Cancelled,UPI,0.15,149.0
O500109,C106726,2024-10-05 08:36:18,Completed,Wallet,0.0,49.0
O500110,C110182,2023-08-05 12:41:13,Pending,Net Banking,0.1,49.0
O500111,C111705,2025-11-05 21:17:46,Completed,COD,0.05,49.0
O500112,C100461,2025-08-05 08:01:49,Completed,Wallet,0.0,99.0
O500113,C102345,2025-11-27 03:50:52,Completed,COD,0.0,0.0
O500114,C110972,2025-10-13 09:29:01,Completed,COD,0.15,99.0
O500115,C112255,2024-10-07 18:11:18,Completed,Debit Card,0.1,0.0
O500116,C103610,2025-10-05 18:02:04,Completed,Debit Card,0.1,0.0
O500117,C103508,2025-10-26 03:37:38,Completed,COD,0.2,149.0
O500118,C101331,2025-11-11 08:03:47,Pending,Wallet,0.1,0.0
O500119,C102305,2023-09-04 05:25:45,Completed,Net Banking,0.0,149.0
O500120,C100128,2023-03-14 20:10:57,Pending,Net Banking,0.0,149.0
O500121,C108890,2025-05-24 03:08:30,Completed,Net Banking,0.2,49.0
O500122,C113623,2025-02-23 08:58:15,Pending,Net Banking,0.0,49.0
O500123,C102288,2025-12-06 07:22:33,Completed,COD,0.0,49.0
O500124,C111301,2025-01-31 10:32:33,Pending,UPI,0.0,0.0
O500125,C108654,2025-08-15 14:14:40,Completed,UPI,0.0,0.0
O500126,C114157,2025-07-22 17:41:56,Completed,Net Banking,0.15,149.0
O500127,C112025,2024-12-25 07:43:50,Returned,Credit Card,0.0,0.0
O500128,C112828,2025-12-03 07:25:54,Completed,UPI,0.1,0.0
O500129,C109641,2025-11-07 04:46:48,Cancelled,Credit Card,0.1,49.0
O500130,C112236,2024-05-18 18:14:56,Pending,UPI,0.2,0.0
O500131,C105303,2023-12-18 02:30:59,Completed,COD,0.05,149.0
O500132,C103182,2025-11-28 14:28:27,Returned,UPI,0.0,0.0
O500133,C113751,2025-12-20 07:45:15,Completed,Debit Card,0.15,49.0
O500134,C111042,2025-06-08 12:49:53,Cancelled,UPI,0.0,0.0
O500135,C101362,2024-10-20 21:03:02,Completed,Net Banking,0.1,0.0
O500136,C113030,2024-06-22 04:34:35,Completed,UPI,0.1,0.0
O500137,C105282,2024-12-14 11:19:05,Completed,UPI,0.0,0.0
O500138,C104554,2024-08-01 21:36:10,Pending,UPI,,0.0
O500139,C109407,2024-03-20 11:19:12,Completed,COD,0.2,99.0
O500140,C108598,2025-12-07 09:51:38,Returned,COD,0.0,0.0
O500141,C108104,2025-05-29 16:34:26,Completed,Net Banking,0.2,0.0
O500142,C103868,2025-09-18 09:39:45,Pending,UPI,0.0,0.0
O500143,C114468,2024-03-03 17:04:46,Completed,Wallet,0.0,149.0
O500144,C114320,2025-08-06 23:07:15,Completed,Debit Card,0.1,149.0
O500145,C100053,2025-05-31 06:02:39,Pending,UPI,0.2,0.0
O500146,C105117,2024-12-12 04:18:33,Completed,Net Banking,0.0,49.0
O500147,C100696,2025-08-05 11:22:13,Pending,COD,0.1,149.0
O500148,C112795,2025-12-30 15:22:20,Completed,Debit Card,0.0,149.0
O500149,C113327,2025-04-26 09:34:06,Pending,Credit Card,0.0,149.0
O500150,C107840,2025-10-14 06:27:11,Returned,COD,0.1,0.0
O500151,C112645,2023-11-20 05:26:20,Completed,Net Banking,0.0,149.0
O500152,C110567,2025-12-15 16:37:22,Completed,Debit Card,0.1,149.0
O500153,C107588,2025-09-08 04:16:57,Completed,Wallet,,0.0
O500154,C105514,2025-11-06 07:05:28,Pending,UPI,0.15,0.0
O500155,C104050,2025-10-05 14:11:17,Cancelled,Wallet,0.0,0.0
O500156,C103935,2025-01-14 20:59:46,Cancelled,UPI,0.2,0.0
O500157,C108502,2025-12-25 18:27:05,Returned,COD,0.1,149.0
O500158,C102545,2025-12-09 10:14:16,Completed,COD,0.0,149.0
O500159,C102657,2024-11-14 11:59:13,Returned,Credit Card,0.1,
O500160,C100162,2025-12-19 16:47:17,Pending,COD,0.1,
O500161,C109239,2024-03-09 13:38:28,Pending,UPI,0.1,49.0
O500162,C114995,2025-12-29 13:14:26,Completed,COD,0.0,0.0
O500163,C113375,2025-11-22 05:52:01,Pending,Credit Card,0.0,99.0
O500164,C110615,2025-08-15 09:49:52,Completed,Credit Card,0.05,99.0
O500165,C111826,2025-07-06 03:08:44,Pending,Net Banking,0.0,99.0
O500166,C106319,2024-10-12 21:18:39,Returned,UPI,0.0,0.0
O500167,C104547,2025-11-27 23:02:29,Completed,UPI,0.05,149.0
O500168,C105594,2024-03-27 04:24:32,Returned,Debit Card,0.15,149.0
O500169,C101231,2024-08-25 13:55:05,Pending,UPI,0.1,49.0
O500170,C109561,2024-09-06 22:13:20,Returned,Credit Card,0.1,0.0
O500171,C102658,2025-02-11 05:13:18,Completed,Wallet,0.0,99.0
O500172,C111474,2025-02-26 16:48:29,Completed,UPI,0.0,99.0
O500173,C102898,2025-03-29 15:53:02,Returned,UPI,0.2,149.0
O500174,C103485,2025-01-20 23:13:03,Returned,UPI,0.1,0.0
O500175,C114430,2023-12-11 03:07:28,Completed,Net Banking,0.0,0.0
O500176,C101602,2025-04-06 12:22:51,Completed,Wallet,0.0,99.0
O500177,C107576,2025-03-15 18:00:02,Completed,Wallet,0.0,149.0
O500178,C100942,2025-12-20 16:08:54,Cancelled,Net Banking,0.15,99.0
O500179,C101359,2025-06-06 19:00:11,Completed,Wallet,0.15,99.0
O500180,C109559,2023-08-13 15:38:35,Completed,UPI,0.0,0.0
O500181,C109510,2025-11-11 00:07:54,Completed,Net Banking,0.15,0.0
O500182,C102947,2025-10-19 16:41:21,Completed,Wallet,0.1,0.0
O500183,C113108,2024-03-01 08:53:36,Pending,Credit Card,0.15,0.0
O500184,C110553,2025-11-20 19:29:34,Cancelled,Debit Card,0.05,99.0
O500185,C104581,2024-07-01 07:23:59,Returned,COD,0.0,99.0
O500186,C103781,2025-03-07 10:00:52,Completed,Wallet,0.0,0.0
O500187,C111349,2025-12-18 13:42:37,Completed,UPI,0.0,0.0
O500188,C111033,2025-09-04 10:00:53,Completed,Wallet,0.0,0.0
O500189,C102272,2025-12-10 11:10:45,Completed,Wallet,0.2,0.0
O500190,C105284,2025-02-13 10:48:12,Completed,Net Banking,0.0,0.0
O500191,C103320,2025-03-26 15:28:12,Completed,Credit Card,0.0,0.0
O500192,C104493,2025-05-19 10:41:53,Completed,Net Banking,0.05,49.0
O500193,C104389,2025-12-31 14:15:36,Returned,UPI,,49.0
O500194,C114731,2025-11-29 11:20:53,Returned,Wallet,0.2,99.0
O500195,C111287,2025-03-21 08:52:03,Completed,COD,0.1,149.0
O500196,C111733,2024-12-20 15:25:16,Completed,Credit Card,0.05,0.0
O500197,C104223,2025-11-09 13:54:16,Completed,UPI,,0.0
O500198,C100011,2025-11-10 16:28:33,Cancelled,COD,0.15,0.0
O500199,C100887,2025-08-15 22:10:56,Returned,Wallet,0.0,49.0
O500200,C108352,2025-09-04 03:40:38,Completed,Net Banking,0.2,49.0
O500201,C104355,2025-10-16 23:14:13,Pending,Net Banking,0.0,0.0
O500202,C102947,2025-12-29 16:07:40,Returned,Debit Card,0.1,0.0
O500203,C100760,2025-07-11 23:15:18,Completed,COD,0.1,0.0
O500204,C113174,2024-02-13 00:06:29,Cancelled,Debit Card,0.1,99.0
O500205,C109031,2025-07-26 20:28:31,Completed,Credit Card,0.05,49.0
O500206,C101628,2025-04-16 23:29:01,Completed,UPI,0.0,149.0
O500207,C111529,2024-08-19 09:09:05,Completed,UPI,0.05,0.0
O500208,C111362,2025-11-28 15:27:16,Completed,Debit Card,0.0,49.0
O500209,C104429,2025-08-08 20:55:58,Completed,Wallet,0.15,0.0
O500210,C102873,2025-11-05 09:46:17,Completed,UPI,0.0,99.0
O500211,C112270,2025-02-22 00:59:58,Completed,Debit Card,0.1,0.0
O500212,C104997,2025-09-17 14:32:41,Cancelled,UPI,0.0,149.0
O500213,C112755,2025-11-28 05:00:17,Completed,UPI,,49.0
O500214,C100660,2025-05-08 04:17:26,Completed,Wallet,0.0,0.0
O500215,C107584,2025-10-31 09:31:31,Cancelled,COD,0.0,
O500216,C102739,2024-11-26 07:50:48,Cancelled,UPI,0.0,149.0
O500217,C110120,2024-06-10 05:16:02,Completed,UPI,0.15,149.0
O500218,C108829,2025-12-10 01:19:25,Completed,COD,0.0,0.0
O500219,C106258,2024-09-05 15:04:13,Returned,WALLET,0.05,149.0
O500220,C101530,2025-12-27 22:07:50,Completed,Wallet,0.2,99.0
O500221,C104833,2024-12-11 23:19:39,Cancelled,UPI,0.1,0.0
O500222,C113418,2025-10-20 15:23:11,Completed,Net Banking,0.0,0.0
O500223,C111516,2025-11-21 12:14:36,Completed,Debit Card,0.05,99.0
O500224,C103558,2025-01-01 14:53:38,Cancelled,COD,0.0,0.0
O500225,C114364,2025-11-28 22:38:19,Returned,COD,0.15,0.0
O500226,C109388,2025-02-26 13:28:43,Completed,COD,0.1,49.0
O500227,C102568,2025-09-03 20:55:52,Cancelled,COD,0.05,149.0
O500228,C108640,2025-04-02 02:12:45,Completed,  UPI  ,0.15,149.0
O500229,C106849,2025-12-25 05:25:54,Completed,Debit Card,0.0,149.0
O500230,C112354,2025-09-12 10:12:41,Completed,UPI,0.1,0.0
O500231,C105209,2025-07-29 07:20:32,Completed,Wallet,0.0,49.0
O500232,C113157,2025-10-30 13:58:21,Pending,Credit Card,0.2,149.0
O500233,C112243,2025-11-11 17:40:40,Completed,Wallet,0.15,0.0
O500234,C110149,2024-09-21 21:56:24,Completed,UPI,0.0,99.0
O500235,C103928,2025-05-18 20:22:59,Completed,Net Banking,0.05,99.0
O500236,C114633,2025-07-26 14:55:16,Cancelled,UPI,,0.0
O500237,C108286,2025-12-30 05:32:17,Pending,wallet,0.0,99.0
O500238,C113678,2025-10-10 15:09:04,Pending,Wallet,0.05,99.0
O500239,C103304,2025-12-17 23:43:01,Returned,Debit Card,0.05,49.0
O500240,C114853,2025-04-28 09:42:16,Returned,COD,0.2,99.0
O500241,C112299,2025-10-03 05:42:43,Completed,Net Banking,0.0,99.0
O500242,C114311,2025-05-26 18:56:19,Cancelled,Net Banking,0.0,0.0
O500243,C103235,2024-01-19 21:32:58,Returned,Net Banking,0.0,0.0
O500244,C106536,2025-09-14 06:09:15,Returned,UPI,0.0,99.0
O500245,C101493,2025-06-13 22:51:15,Cancelled,UPI,0.0,99.0
O500246,C102111,2025-11-25 14:42:33,Returned,Wallet,0.0,149.0
O500247,C104336,2025-10-08 07:57:00,Completed,UPI,0.0,0.0
O500248,C114335,2025-03-01 12:22:21,Cancelled,Debit Card,0.0,
O500249,C110051,2025-11-18 22:50:56,Completed,UPI,0.15,99.0
O500250,C104782,2025-09-17 23:12:36,Completed,UPI,0.05,0.0
O500251,C114384,2025-04-05 09:57:42,Completed,Wallet,0.15,0.0
O500252,C111119,2025-12-16 01:14:27,Completed,Debit Card,0.2,49.0
O500253,C113663,2025-07-11 16:54:05,Completed,Credit Card,0.1,
O500254,C113969,2025-09-07 19:08:50,Returned,Net Banking,0.15,99.0
O500255,C111291,2025-06-17 10:37:26,Completed,Wallet,0.05,49.0
O500256,C103708,2025-10-06 23:38:41,Returned,Debit Card,0.0,149.0
O500257,C107826,2025-04-03 02:52:03,Completed,Net Banking,0.15,99.0
O500258,C104935,2024-07-13 11:12:35,Completed,Credit Card,0.15,49.0
O500259,C110119,2025-11-01 16:41:39,Completed,Credit Card,0.1,0.0
O500260,C112720,2025-08-09 05:18:09,Pending,COD,0.1,149.0
O500261,C102667,2025-09-14 10:26:57,Completed,Wallet,0.15,0.0
O500262,C109174,2024-05-30 00:58:22,Completed,UPI,0.2,0.0
O500263,C105703,2025-07-06 11:34:59,Completed,Wallet,0.2,149.0
O500264,C103725,2025-08-20 13:21:00,Completed,Net Banking,0.0,49.0
O500265,C100177,2025-11-14 04:52:10,Completed,Debit Card,0.1,0.0
O500266,C113102,2024-10-11 03:47:07,Returned,Credit Card,0.0,99.0
O500267,C102097,2025-11-09 07:47:42,Completed,Wallet,0.0,
O500268,C113197,2024-07-26 05:29:05,Completed,Credit Card,0.0,
O500269,C109039,2024-04-24 21:32:23,Returned,Wallet,0.1,
O500270,C109371,2025-09-25 16:28:04,Completed,UPI,0.0,0.0
O500271,C112487,2024-05-05 05:29:34,Completed,Debit Card,0.0,49.0
O500272,C107726,2025-07-19 19:03:26,Cancelled,Credit Card,0.2,99.0
O500273,C105404,2025-11-09 11:31:15,Pending,Credit Card,0.2,99.0
O500274,C102136,2025-03-26 08:29:47,Completed,Credit Card,0.15,99.0
O500275,C108618,2025-09-01 10:58:18,Cancelled,COD,0.1,0.0
O500276,C108358,2025-11-11 03:17:12,Completed,Debit Card,0.1,49.0
O500277,C104490,2025-07-12 00:10:31,Returned,Net Banking,0.2,0.0
O500278,C109029,2025-10-23 04:40:59,Returned,COD,0.0,0.0
O500279,C106649,2023-12-28 09:18:00,Pending,Net Banking,0.0,0.0
O500280,C112148,2025-11-19 19:30:08,Completed,COD,0.0,0.0
O500281,C108464,2025-04-10 19:02:15,Completed,Credit Card,0.2,149.0
O500282,C114066,2025-10-14 17:53:52,Pending,Net Banking,0.2,0.0
O500283,C107839,2025-10-26 07:11:45,Completed,Net Banking,0.2,149.0
O500284,C113348,2025-10-27 15:44:27,Completed,UPI,0.15,149.0
O500285,C107869,2025-06-21 16:07:52,Cancelled,Wallet,0.1,0.0
O500286,C108438,2024-06-27 21:59:07,Completed,UPI,0.0,0.0
O500287,C105568,2025-12-31 18:17:03,Completed,Credit Card,0.0,0.0
O500288,C106065,2025-10-09 11:55:48,Cancelled,Debit Card,0.15,0.0
O500289,C114055,2025-03-21 03:38:08,Completed,Credit Card,0.1,99.0
O500290,C103426,2025-11-04 14:33:36,Completed,Debit Card,0.05,0.0
O500291,C101833,2025-04-25 19:58:15,Cancelled,UPI,0.0,49.0
O500292,C112505,2025-11-18 05:19:39,Completed,COD,0.15,0.0
O500293,C108697,2025-10-06 09:33:36,Completed,Credit Card,0.1,0.0
O500294,C104344,2025-11-15 18:12:54,Completed,Credit Card,0.2,0.0
O500295,C106560,2024-10-13 04:00:08,Cancelled,Wallet,0.05,49.0
O500296,C107933,2025-12-27 11:09:02,Cancelled,Net Banking,0.1,49.0
O500297,C108923,2023-10-31 01:12:58,Completed,Credit Card,0.05,0.0
O500298,C112380,2025-10-09 12:55:04,Returned,UPI,0.0,99.0
O500299,C105969,2025-11-25 09:41:01,Returned,Net Banking,0.2,149.0
O500300,C110173,2025-04-26 10:25:19,Completed,Net Banking,0.15,149.0
O500301,C112577,2024-10-14 08:31:10,Completed,Wallet,0.15,49.0
O500302,C112705,2025-10-16 07:33:55,Completed,Debit Card,0.2,49.0
O500303,C103860,2025-07-20 10:01:53,Completed,UPI,0.0,49.0
O500304,C105296,2024-07-15 22:21:24,Completed,COD,0.0,0.0
O500305,C108950,2025-04-20 23:12:29,Completed,COD,0.15,0.0
O500306,C113321,2023-11-26 15:46:38,Completed,Net Banking,0.0,49.0
O500307,C111899,2025-03-04 15:41:38,Returned,UPI,0.1,99.0
O500308,C108810,2025-11-29 23:23:20,Cancelled,Net Banking,0.0,0.0
O500309,C114855,2024-10-18 10:13:46,Completed,Credit Card,0.15,49.0
O500310,C106645,2025-01-21 13:59:21,Completed,Net Banking,0.15,99.0
O500311,C112686,2025-11-22 18:51:23,Completed,Debit Card,0.05,0.0
O500312,C112330,2024-12-06 09:04:11,Cancelled,Net Banking,0.15,49.0
O500313,C113687,2025-11-12 01:31:13,Pending,COD,0.15,149.0
O500314,C114905,2025-04-23 11:55:20,Cancelled,UPI,0.0,99.0
O500315,C107526,2023-11-02 06:00:14,Completed,UPI,0.0,49.0
O500316,C102984,2024-01-04 01:25:08,Completed,UPI,0.2,49.0
O500317,C106990,2025-07-14 10:41:17,Completed,UPI,0.15,149.0
O500318,C112845,2025-01-31 02:08:00,Completed,COD,0.0,0.0
O500319,C112598,2024-11-23 13:16:33,Cancelled,COD,0.2,99.0
O500320,C105088,2025-08-22 17:47:47,Completed,Net Banking,0.0,0.0
O500321,C100723,2025-10-30 23:34:13,Returned,Credit Card,0.1,0.0
O500322,C107733,2023-03-18 17:16:10,Cancelled,Debit Card,0.05,0.0
O500323,C107193,2023-12-18 00:48:38,Completed,UPI,,
O500324,C101297,2025-12-26 01:32:19,Cancelled,Wallet,0.15,0.0
O500325,C111973,2025-03-30 14:40:28,Pending,Credit Card,0.15,0.0
O500326,C104329,2025-06-04 21:22:27,Pending,Net Banking,0.0,0.0
O500327,C109733,2025-07-03 15:27:30,Completed,Credit Card,0.2,49.0
O500328,C101543,2025-01-31 23:28:37,Cancelled,Credit Card,0.05,99.0
O500329,C112933,2025-11-20 10:14:05,Completed,Debit Card,0.2,0.0
O500330,C111117,2025-11-07 12:20:16,Pending,Credit Card,0.0,49.0
O500331,C105884,2025-01-18 16:51:32,Completed,COD,0.0,0.0
O500332,C109491,2024-12-09 08:34:03,Pending,Wallet,0.0,0.0
O500333,C102862,2025-07-30 21:06:44,Completed,COD,0.0,0.0
O500334,C114879,2025-06-23 10:54:54,Returned,UPI,0.05,0.0
O500335,C112000,2025-12-28 19:07:40,Pending,Credit Card,0.1,0.0
O500336,C111877,2025-11-12 00:51:41,Completed,Credit Card,0.0,149.0
O500337,C102359,2025-04-26 16:31:12,Completed,Net Banking,0.2,49.0
O500338,C100272,2024-12-23 02:49:38,Pending,Wallet,0.1,0.0
O500339,C108831,2025-06-12 17:30:53,Completed,Net Banking,0.0,0.0
O500340,C102205,2025-12-31 00:00:00,Pending,Net Banking,0.15,99.0
O500341,C111740,2024-11-02 15:52:00,Cancelled,Net Banking,0.1,99.0
O500342,C106307,2025-09-19 15:57:03,Cancelled,UPI,0.1,0.0
O500343,C105129,2025-09-04 16:42:02,Pending,COD,0.0,0.0
O500344,C101102,2025-07-05 03:52:48,Completed,Debit Card,0.0,49.0
O500345,C101889,2025-06-08 07:50:59,Pending,COD,0.15,49.0
O500346,C114405,2025-10-05 01:10:09,Returned,Debit Card,0.05,0.0
O500347,C102026,2025-08-13 13:17:15,Completed,NET BANKING,0.05,149.0
O500348,C105051,2024-06-15 13:50:06,Completed,Wallet,0.2,99.0
O500349,C105923,2025-05-07 01:30:31,Completed,UPI,0.05,0.0
O500350,C104530,2025-04-10 15:54:59,Returned,Debit Card,0.0,99.0
O500351,C114077,2025-02-13 23:23:44,Completed,Credit Card,0.0,99.0
O500352,C110842,2024-10-15 13:05:43,Completed,Debit Card,0.15,149.0
O500353,C114405,2025-08-09 14:24:38,Returned,UPI,0.05,149.0
O500354,C113149,2025-02-25 12:44:35,Returned,UPI,0.05,0.0
O500355,C111350,2025-07-07 15:29:36,Completed,UPI,0.0,
O500356,C110469,2024-10-30 15:40:47,Completed,COD,0.05,0.0
O500357,C113018,2025-07-28 02:44:22,Completed,Net Banking,0.0,0.0
O500358,C110262,2025-01-22 10:50:28,Completed,UPI,0.0,149.0
O500359,C102879,2024-04-20 09:19:26,Returned,Net Banking,0.0,49.0
O500360,C109763,2025-06-29 05:36:32,Completed,UPI,0.2,0.0
O500361,C107795,2025-10-19 17:53:27,Completed,Wallet,0.0,0.0
O500362,C114827,2025-09-19 01:15:49,Completed,Wallet,0.0,
O500363,C107734,2024-02-10 02:41:23,Pending,Debit Card,0.0,0.0
O500364,C100574,2023-09-25 20:11:57,Completed,Wallet,0.0,49.0
O500365,C104025,2025-11-30 02:17:13,Cancelled,Credit Card,0.05,0.0
O500366,C113809,2025-05-16 15:18:22,Completed,Net Banking,0.0,49.0
