date,channel,campaign,spend,impressions,clicks,conversions
2023-01-12,Meta Ads,FB_Lookalike,998.01,3112,117,3
2023-01-12,YouTube Ads,YT_Skippable,358.36,1085,28,1
2023-01-12,YouTube Ads,YT_Bumper,5823.48,4814,169,4
2023-01-12,Organic Search,SEO_Blog,51.73,426,15,0
2023-01-12,Organic Search,SEO_Category,390.87,2865,30,0
2023-01-12,Affiliate,Affiliate_Network_A,2512.34,10569,415,8
2023-01-12,Affiliate,Affiliate_Network_B,138.95,4450,45,2
2023-01-12,Referral,Referral_Program,3.83,14331,132,5
2023-01-12,Direct,Direct_Traffic,322.09,759,8,0
2023-01-13,Google Ads,Search_Brand,17509.6,12626,401,14
2023-01-13,Google Ads,Search_Generic,1514.75,2784,118,4
2023-01-13,Google Ads,Shopping_Ads,2223.92,1789,59,3
2023-01-13,Google Ads,Display_Retarget,7068.11,13566,195,5
2023-01-13,Meta Ads,FB_Prospecting,394.58,2776,38,2
2023-01-13,Meta Ads,FB_Lookalike,4646.73,3300,144,6
2023-01-13,YouTube Ads,YT_Skippable,2715.93,6331,186,3
2023-01-13,YouTube Ads,YT_Bumper,,9209,202,9
2023-01-13,Email,Cart_Recovery,,2243,79,1
2023-01-13,Email,Win_Back,194.82,1694,13,0
2023-01-13,Organic Search,SEO_Blog,253.37,7586,112,4
2023-01-13,Organic Search,SEO_Category,184.94,20025,401,13
2023-01-13,Affiliate,Affiliate_Network_A,1710.74,5167,41,2
2023-01-13,Referral,Referral_Program,459.13,24003,613,15
2023-01-14,Google Ads,Search_Brand,711.93,1061,26,1
2023-01-14,Google Ads,Search_Generic,1169.77,6680,45,3
2023-01-14,Google Ads,Shopping_Ads,576.5,4043,40,1
2023-01-14,Meta Ads,IG_Retarget,2322.91,4522,112,4
2023-01-14,Meta Ads,FB_Lookalike,41.89,328,3,0
2023-01-14,YouTube Ads,YT_Skippable,9775.91,5971,218,17
2023-01-14,Email,Weekly_Newsletter,21834.74,16964,679,9
2023-01-14,Email,Cart_Recovery,10538.16,9303,252,5
2023-01-14,Email,Win_Back,2484.61,8144,202,9
2023-01-14,Organic Search,SEO_Blog,182.93,8718,112,2
2023-01-14,Organic Search,SEO_Category,492.51,5794,31,1
2023-01-14,Affiliate,Affiliate_Network_A,1512.06,9351,115,2
2023-01-14,Affiliate,Affiliate_Network_B,3474.2,2891,110,8
2023-01-14,Referral,Referral_Program,207.46,3829,123,6
2023-01-14,Direct,Direct_Traffic,491.38,1273,12,0
2023-01-15,Google Ads,Search_Generic,1665.25,1979,79,5
2023-01-15,Google Ads,Shopping_Ads,1122.05,709,27,0
2023-01-15,Google Ads,Display_Retarget,742.83,4673,126,3
2023-01-15,Meta Ads,FB_Prospecting,1525.42,4974,58,3
2023-01-15,Meta Ads,IG_Retarget,4042.12,7772,328,15
2023-01-15,YouTube Ads,YT_Bumper,21894.55,24164,909,44
2023-01-15,Email,Weekly_Newsletter,4758.93,7003,294,5
2023-01-15,Email,Cart_Recovery,1048.91,2549,37,1
2023-01-15,Email,Win_Back,5478.18,6438,244,2
2023-01-15,Organic Search,SEO_Blog,374.16,2717,115,3
2023-01-15,Organic Search,SEO_Category,426.16,576,7,0
2023-01-15,Affiliate,Affiliate_Network_A,2455.31,1589,57,4
2023-01-15,Affiliate,Affiliate_Network_B,4056.48,4896,121,7
2023-01-15,Referral,Referral_Program,73.07,2441,82,5
2023-01-15,Direct,Direct_Traffic,88.96,5673,95,6
2023-01-16,Google Ads,Search_Brand,8432.24,12074,356,16
2023-01-16,Google Ads,Search_Generic,6457.89,8084,165,5
2023-01-16,Google Ads,Shopping_Ads,311.03,6578,84,1
2023-01-16,Google Ads,Display_Retarget,14297.71,10637,343,8
2023-01-16,Meta Ads,FB_Prospecting,2349.71,3711,130,3
2023-01-16,Meta Ads,IG_Retarget,10013.68,7616,290,5
2023-01-16,YouTube Ads,YT_Skippable,1446.21,1735,69,1
2023-01-16,YouTube Ads,YT_Bumper,2766.22,2377,88,1
2023-01-16,Email,Weekly_Newsletter,10889.64,8535,343,7
2023-01-16,Email,Cart_Recovery,4860.75,4761,200,7
2023-01-16,Affiliate,Affiliate_Network_A,9467.72,5848,212,16
2023-01-16,Affiliate,Affiliate_Network_B,4080.39,6108,91,2
2023-01-16,Direct,Direct_Traffic,438.75,3745,163,7
2023-01-17,Google Ads,Search_Brand,2449.07,5943,100,5
2023-01-17,Google Ads,Display_Retarget,1261.44,10212,56,4
2023-01-17,Meta Ads,FB_Lookalike,9672.53,10142,276,20
2023-01-17,Email,Weekly_Newsletter,5261.19,5690,174,12
2023-01-17,Email,Cart_Recovery,10739.76,6980,279,11
2023-01-17,Organic Search,SEO_Category,188.5,8219,131,8
2023-01-17,Direct,Direct_Traffic,308.49,3571,136,8
2023-01-18,Google Ads,Search_Brand,2089.41,4740,140,9
2023-01-18,Google Ads,Search_Generic,1441.33,2793,100,4
2023-01-18,Google Ads,Shopping_Ads,9203.35,7662,229,4
2023-01-18,Meta Ads,FB_Prospecting,1584.45,4311,68,3
2023-01-18,YouTube Ads,YT_Bumper,290.92,1016,43,2
2023-01-18,Email,Weekly_Newsletter,906.99,5872,126,4
2023-01-18,Email,Cart_Recovery,4987.91,5720,120,7
2023-01-18,Email,Win_Back,1525.04,1871,43,1
2023-01-18,Organic Search,SEO_Blog,38.94,4998,129,8
2023-01-18,Organic Search,SEO_Category,194.89,1910,15,0
2023-01-18,Affiliate,Affiliate_Network_A,869.11,1690,26,0
2023-01-18,Referral,Referral_Program,490.1,4220,144,2
2023-01-18,Direct,Direct_Traffic,216.98,3460,48,1
2023-01-19,Google Ads,Search_Brand,887.24,1361,35,0
2023-01-19,Google Ads,Shopping_Ads,7822.56,9526,395,19
2023-01-19,Meta Ads,FB_Prospecting,13887.25,14020,559,27
2023-01-19,Meta Ads,FB_Lookalike,1449.17,5746,76,4
2023-01-19,YouTube Ads,YT_Skippable,800.92,4502,162,7
2023-01-19,Email,Win_Back,10307.34,15963,417,9
2023-01-19,Organic Search,SEO_Blog,99.19,4233,118,7
2023-01-19,Organic Search,SEO_Category,258.01,7612,253,13
2023-01-19,Referral,Referral_Program,10.62,6355,269,15
2023-01-19,Direct,Direct_Traffic,298.11,1463,32,0
2023-01-20,Google Ads,Search_Brand,9175.78,16395,639,8
2023-01-20,Google Ads,Shopping_Ads,1198.61,4254,133,8
2023-01-20,Google Ads,Display_Retarget,245.78,1859,9,0
2023-01-20,Meta Ads,IG_Retarget,3714.04,12653,260,14
2023-01-20,YouTube Ads,YT_Skippable,4200.78,7478,315,17
2023-01-20,YouTube Ads,YT_Bumper,7887.01,15311,626,40
2023-01-20,Email,Win_Back,1221.05,5873,237,15
2023-01-20,Organic Search,SEO_Blog,10.31,14024,509,18
2023-01-20,Organic Search,SEO_Category,478.62,15778,446,9
2023-01-20,Affiliate,Affiliate_Network_A,3349.05,2600,87,6
2023-01-20,Referral,Referral_Program,37.62,12105,314,12
2023-01-21,Google Ads,Search_Brand,2138.37,3891,48,3
2023-01-21,Google Ads,Shopping_Ads,848.12,1531,19,0
2023-01-21,Google Ads,Display_Retarget,8568.22,12901,220,4
2023-01-21,Meta Ads,IG_Retarget,16527.84,15379,423,16
2023-01-21,Meta Ads,FB_Lookalike,10027.78,9597,322,23
2023-01-21,YouTube Ads,YT_Skippable,2860.56,4459,111,4
2023-01-21,Email,Weekly_Newsletter,2982.39,5554,190,3
2023-01-21,Email,Cart_Recovery,1610.74,9067,357,3
2023-01-21,Email,Win_Back,6568.76,9494,243,9
2023-01-21,Affiliate,Affiliate_Network_A,6340.21,7909,296,22
2023-01-21,Affiliate,Affiliate_Network_B,7074.34,16632,174,7
2023-01-21,Referral,Referral_Program,130.67,14035,95,6
2023-01-21,Direct,Direct_Traffic,468.72,5994,150,8
2023-01-22,Google Ads,Search_Brand,524.64,4163,103,4
2023-01-22,Google Ads,Search_Generic,12437.44,13308,384,5
2023-01-22,Google Ads,Shopping_Ads,2031.3,5393,170,4
2023-01-22,Google Ads,Display_Retarget,2678.78,2682,74,4
2023-01-22,Meta Ads,FB_Prospecting,2059.31,4106,84,1
2023-01-22,Meta Ads,IG_Retarget,1921.87,3182,85,1
2023-01-22,Meta Ads,FB_Lookalike,9460.31,7932,237,11
2023-01-22,YouTube Ads,YT_Skippable,5470.08,12535,218,13
2023-01-22,YouTube Ads,YT_Bumper,980.23,2344,84,3
2023-01-22,Email,Cart_Recovery,2351.21,6220,83,4
2023-01-22,Organic Search,SEO_Blog,197.15,1421,14,1
2023-01-22,Affiliate,Affiliate_Network_A,10318.92,12792,407,30
2023-01-22,Affiliate,Affiliate_Network_B,6431.4,31165,913,14
2023-01-22,Referral,Referral_Program,292.46,9026,181,11
2023-01-23,Google Ads,Search_Brand,2087.25,3784,139,5
2023-01-23,Google Ads,Search_Generic,2530.78,13198,237,3
2023-01-23,Google Ads,Shopping_Ads,1434.91,2626,60,3
2023-01-23,Google Ads,Display_Retarget,1693.22,2766,53,3
2023-01-23,Meta Ads,FB_Prospecting,570.42,2797,43,2
2023-01-23,Meta Ads,IG_Retarget,2897.24,8405,206,10
2023-01-23,Meta Ads,FB_Lookalike,3513.07,9511,199,13
2023-01-23,YouTube Ads,YT_Skippable,5135.86,11663,149,4
2023-01-23,Email,Weekly_Newsletter,783.79,3390,97,3
2023-01-23,Organic Search,SEO_Blog,305.26,6312,39,0
2023-01-23,Organic Search,SEO_Category,83.47,820,8,0
2023-01-23,Affiliate,Affiliate_Network_A,1881.65,3307,90,4
2023-01-23,Affiliate,Affiliate_Network_B,280.21,1883,25,0
2023-01-23,Referral,Referral_Program,371.45,5678,160,6
2023-01-23,Direct,Direct_Traffic,209.98,1586,15,0
2023-01-24,Google Ads,Search_Brand,6291.01,6926,276,18
2023-01-24,Google Ads,Search_Generic,425.31,5765,106,1
2023-01-24,Meta Ads,FB_Prospecting,11719.83,23780,355,3
2023-01-24,Meta Ads,IG_Retarget,536.76,4497,57,1
2023-01-24,YouTube Ads,YT_Skippable,1833.87,4899,146,9
2023-01-24,YouTube Ads,YT_Bumper,3968.74,4683,160,9
2023-01-24,Email,Weekly_Newsletter,866.18,3067,30,1
2023-01-24,Email,Win_Back,6185.26,8295,361,10
2023-01-24,Organic Search,SEO_Blog,278.68,6114,177,9
2023-01-24,Affiliate,Affiliate_Network_B,604.14,10876,175,3
2023-01-24,Referral,Referral_Program,64.58,3476,29,0
2023-01-24,Direct,Direct_Traffic,483.71,6975,50,2
2023-01-25,Google Ads,Search_Brand,2970.56,3947,148,4
2023-01-25,Google Ads,Shopping_Ads,236.79,1360,25,0
2023-01-25,Google Ads,Display_Retarget,6135.98,6221,158,6
2023-01-25,Meta Ads,FB_Prospecting,188.34,686,12,0
2023-01-25,Meta Ads,IG_Retarget,8921.27,22211,210,5
2023-01-25,YouTube Ads,YT_Skippable,1563.97,1191,47,0
2023-01-25,Email,Weekly_Newsletter,6346.12,8987,257,15
2023-01-25,Email,Cart_Recovery,3072.64,6348,100,5
2023-01-25,Email,Win_Back,1832.26,1192,50,0
2023-01-25,Organic Search,SEO_Blog,449.87,367,6,0
2023-01-25,Affiliate,Affiliate_Network_A,1730.82,961,41,3
2023-01-25,Referral,Referral_Program,259.28,5499,152,3
2023-01-25,Direct,Direct_Traffic,317.48,263,11,0
2023-01-26,Google Ads,Search_Brand,1432.36,9580,53,3
2023-01-26,Meta Ads,IG_Retarget,1026.15,1911,81,2
2023-01-26,Meta Ads,FB_Lookalike,743.94,5536,37,2
2023-01-26,YouTube Ads,YT_Skippable,2144.01,4576,177,2
2023-01-26,YouTube Ads,YT_Bumper,3155.53,4347,84,6
2023-01-26,Email,Weekly_Newsletter,22391.1,21902,679,19
2023-01-26,Organic Search,SEO_Blog,262.1,6350,244,16
2023-01-26,Organic Search,SEO_Category,410.87,5185,76,5
2023-01-26,Referral,Referral_Program,80.99,4001,85,1
2023-01-26,Direct,Direct_Traffic,173.3,5251,32,2
2023-01-27,Google Ads,Search_Brand,1127.19,6737,49,3
2023-01-27,Google Ads,Display_Retarget,3781.71,3813,113,3
2023-01-27,Meta Ads,IG_Retarget,1000.91,4361,117,2
2023-01-27,Meta Ads,FB_Lookalike,1127.0,2161,57,2
2023-01-27,YouTube Ads,YT_Bumper,462.26,6749,39,0
2023-01-27,Organic Search,SEO_Category,307.79,2628,101,2
2023-01-27,Affiliate,Affiliate_Network_A,1110.63,6147,118,3
2023-01-27,Affiliate,Affiliate_Network_B,1070.8,2641,114,7
2023-01-28,Google Ads,Search_Brand,7362.35,12834,532,20
2023-01-28,Google Ads,Display_Retarget,1774.78,12511,338,8
2023-01-28,Meta Ads,IG_Retarget,5076.69,12236,122,4
2023-01-28,Meta Ads,FB_Lookalike,2953.52,5756,108,5
2023-01-28,YouTube Ads,YT_Bumper,1114.6,1241,41,0
2023-01-28,Email,Win_Back,1165.91,6284,113,6
2023-01-28,Organic Search,SEO_Blog,495.58,7828,272,15
2023-01-28,Organic Search,SEO_Category,480.21,2123,68,1
2023-01-28,Affiliate,Affiliate_Network_A,8043.37,4524,186,14
2023-01-28,Affiliate,Affiliate_Network_B,,13799,509,25
2023-01-28,Referral,Referral_Program,292.79,7644,115,6
2023-01-29,Google Ads,Shopping_Ads,7459.28,7850,200,15
2023-01-29,Google Ads,Display_Retarget,11767.18,12236,456,33
2023-01-29,Meta Ads,FB_Prospecting,1698.33,10059,160,6
2023-01-29,Meta Ads,IG_Retarget,1135.03,5703,30,0
2023-01-29,Meta Ads,FB_Lookalike,3625.55,5676,148,5
2023-01-29,YouTube Ads,YT_Skippable,,8915,94,4
2023-01-29,Email,Weekly_Newsletter,1173.9,1585,55,2
2023-01-29,Email,Cart_Recovery,8492.01,4695,195,8
2023-01-29,Organic Search,SEO_Blog,302.81,2814,41,3
2023-01-29,Affiliate,Affiliate_Network_B,5038.9,9125,177,4
2023-01-29,Direct,Direct_Traffic,111.89,8947,108,3
2023-01-30,Google Ads,Search_Brand,1123.97,5756,93,5
2023-01-30,Google Ads,Search_Generic,3879.04,9009,97,7
2023-01-30,Google Ads,Shopping_Ads,3883.81,19233,691,52
2023-01-30,Google Ads,Display_Retarget,814.23,3975,160,3
2023-01-30,Meta Ads,FB_Prospecting,5675.47,9627,172,5
2023-01-30,Meta Ads,IG_Retarget,1652.0,8728,128,1
2023-01-30,Meta Ads,FB_Lookalike,4124.46,3373,148,6
2023-01-30,YouTube Ads,YT_Skippable,3804.28,3098,120,8
2023-01-30,YouTube Ads,YT_Bumper,1197.14,934,29,1
2023-01-30,Email,Cart_Recovery,2383.23,5576,55,2
2023-01-30,Email,Win_Back,815.9,4165,149,1
2023-01-30,Organic Search,SEO_Category,59.87,12711,90,5
2023-01-30,Referral,Referral_Program,64.78,9291,176,13
2023-01-30,Direct,Direct_Traffic,390.42,5222,101,4
2023-01-31,Google Ads,Search_Brand,547.31,2507,22,0
2023-01-31,Google Ads,Search_Generic,5093.55,4713,131,6
2023-01-31,Google Ads,Shopping_Ads,1215.91,3126,98,5
2023-01-31,Google Ads,Display_Retarget,6945.79,14653,223,7
2023-01-31,Meta Ads,FB_Prospecting,1992.79,10024,72,4
2023-01-31,Meta Ads,FB_Lookalike,8205.55,11931,268,19
2023-01-31,YouTube Ads,YT_Skippable,2819.9,2266,64,3
2023-01-31,YouTube Ads,YT_Bumper,3641.83,6483,283,5
2023-01-31,Email,Win_Back,4138.36,7074,206,12
2023-01-31,Organic Search,SEO_Blog,46.68,6991,204,6
2023-01-31,Organic Search,SEO_Category,263.71,1349,15,0
2023-01-31,Affiliate,Affiliate_Network_A,6470.98,13913,354,20
2023-01-31,Affiliate,Affiliate_Network_B,1424.38,5916,74,5
2023-01-31,Referral,Referral_Program,94.29,2902,59,2
2023-01-31,Direct,Direct_Traffic,138.38,12037,250,15
2023-02-01,Google Ads,Search_Generic,415.39,1315,22,1
2023-02-01,Google Ads,Display_Retarget,747.54,4965,25,1
2023-02-01,Meta Ads,FB_Prospecting,1426.48,6081,125,6
2023-02-01,Meta Ads,FB_Lookalike,201.43,381,6,0
2023-02-01,YouTube Ads,YT_Skippable,,1369,12,0
2023-02-01,YouTube Ads,YT_Bumper,1004.46,7542,285,18
2023-02-01,Email,Weekly_Newsletter,8192.21,8251,277,4
2023-02-01,Email,Cart_Recovery,503.5,1674,54,2
2023-02-01,Organic Search,SEO_Blog,35.96,5370,28,0
2023-02-01,Affiliate,Affiliate_Network_A,6719.95,7914,342,3
2023-02-01,Affiliate,Affiliate_Network_B,2844.57,6613,80,2
2023-02-01,Direct,Direct_Traffic,289.77,7131,106,1
2023-02-02,Google Ads,Search_Brand,1142.48,2549,34,2
2023-02-02,Meta Ads,FB_Prospecting,13973.26,8476,335,5
2023-02-02,Meta Ads,IG_Retarget,3174.14,2410,97,4
2023-02-02,Meta Ads,FB_Lookalike,,13233,315,18
2023-02-02,YouTube Ads,YT_Skippable,926.75,1850,49,2
2023-02-02,Email,Cart_Recovery,2616.32,3307,109,1
2023-02-02,Email,Win_Back,5398.69,7858,148,11
2023-02-02,Organic Search,SEO_Category,25.93,184,3,0
2023-02-02,Affiliate,Affiliate_Network_A,1299.04,7799,143,9
2023-02-02,Referral,Referral_Program,355.75,7353,174,3
2023-02-02,Direct,Direct_Traffic,181.16,5007,75,3
2023-02-03,Google Ads,Search_Brand,33.85,1530,8,0
2023-02-03,Google Ads,Shopping_Ads,2113.42,4450,124,4
2023-02-03,Google Ads,Display_Retarget,974.07,5706,125,3
2023-02-03,Meta Ads,FB_Prospecting,3043.89,6417,95,1
2023-02-03,Meta Ads,FB_Lookalike,8005.78,18091,208,11
2023-02-03,YouTube Ads,YT_Skippable,598.13,4602,147,7
2023-02-03,YouTube Ads,YT_Bumper,19266.98,16461,592,14
2023-02-03,Email,Weekly_Newsletter,11096.94,12045,267,8
2023-02-03,Email,Cart_Recovery,2165.91,11133,420,33
