customer_id,days_since_last_purchase,purchase_frequency,total_spend,avg_order_value,number_of_sessions,cart_abandonment,returns,discount_usage,churned
C114376,286,3,40367.9735,13455.991166666667,12.0,2.0,0.0,0.6666666666666666,1
C101699,3,1,2892.46,2892.46,8.0,4.0,0.0,0.0,0
C105429,341,5,111951.04800000001,22390.209600000002,3.0,2.0,0.0,0.4,1
C107506,31,7,150844.8925,21549.27035714286,6.0,2.0,0.0,0.7142857142857143,0
C104493,225,2,26222.887,13111.4435,5.0,1.0,1.0,0.5,1
C113922,5,4,98538.845,24634.71125,5.0,1.0,0.0,1.0,0
C112053,13,5,82506.51400000001,16501.3028,8.0,3.0,1.0,0.8,0
C101178,61,3,47629.4065,15876.468833333332,15.0,4.0,1.0,0.6666666666666666,0
C111505,11,4,90188.2835,22547.070874999998,6.0,3.0,0.0,1.0,0
C109675,99,4,53322.5315,13330.632875,11.0,6.0,0.0,0.5,1
C107965,41,2,40483.5745,20241.787249999998,9.0,3.0,0.0,0.5,0
C110908,30,6,160664.79,26777.465,8.0,5.0,1.0,0.8333333333333334,0
C103279,329,7,139857.5455,19979.64935714286,7.0,2.0,0.0,0.2857142857142857,1
C100709,81,8,186798.3875,23349.7984375,14.0,6.0,0.0,0.5,0
C107530,43,3,47253.75,15751.25,2.0,1.0,0.0,0.0,0
C104933,280,2,58368.0025,29184.00125,10.0,1.0,0.0,1.0,1
C107040,17,5,129683.9625,25936.7925,25.0,9.0,0.0,0.4,0
C114932,10,12,155070.7845,12922.565375,8.0,0.0,4.0,0.6666666666666666,0
C103595,124,1,31534.78,31534.78,9.0,1.0,0.0,0.0,1
C104074,122,3,28705.5905,9568.530166666666,8.0,0.0,0.0,0.3333333333333333,1
C109998,34,6,100292.213,16715.368833333334,9.0,2.0,1.0,0.8333333333333334,0
C112998,12,5,92511.215,18502.243,6.0,1.0,0.0,0.6,0
C100954,494,3,32744.186500000003,10914.728833333334,11.0,2.0,0.0,0.6666666666666666,1
C109658,82,4,50468.179,12617.04475,4.0,2.0,0.0,0.5,0
C102902,346,3,35633.083,11877.694333333333,8.0,0.0,0.0,0.6666666666666666,1
C114227,736,3,107048.552,35682.850666666665,13.0,5.0,1.0,0.6666666666666666,1
C103731,22,8,116033.00200000001,14504.125250000001,7.0,0.0,0.0,0.625,0
C102432,2,11,341001.46749999997,31000.13340909091,3.0,1.0,4.0,0.5454545454545454,0
C102479,100,5,91949.7135,18389.9427,6.0,1.0,0.0,0.8,1
C106726,336,2,51192.202000000005,25596.101000000002,10.0,4.0,1.0,0.5,1
C111705,45,11,188453.801,17132.163727272728,3.0,2.0,1.0,0.9090909090909091,0
C100461,147,8,239386.731,29923.341375,12.0,5.0,2.0,0.375,1
C102345,33,2,32540.867,16270.433500000001,11.0,3.0,0.0,0.5,0
C110972,49,7,94290.642,13470.091714285712,9.0,2.0,1.0,0.8571428571428571,0
C103610,21,6,143205.417,23867.569499999998,9.0,4.0,1.0,0.3333333333333333,0
C103508,25,3,34244.4275,11414.809166666666,5.0,1.0,0.0,1.0,0
C102305,270,7,169641.7355,24234.533642857143,6.0,2.0,0.0,0.5714285714285714,1
C108890,44,9,209185.5925,23242.84361111111,6.0,1.0,1.0,0.5555555555555556,0
C102288,24,1,18560.28,18560.28,10.0,3.0,0.0,0.0,0
C108654,39,13,387154.01649999997,29781.078192307694,7.0,3.0,3.0,0.5384615384615384,0
C114157,11,12,262979.396,21914.949666666667,11.0,3.0,2.0,0.6666666666666666,0
C112828,27,1,29063.322,29063.322,7.0,2.0,1.0,1.0,0
C105303,356,6,181704.6685,30284.111416666667,8.0,2.0,2.0,0.6666666666666666,1
C113751,5,2,31396.225499999997,15698.112749999998,5.0,0.0,0.0,1.0,0
C101362,8,13,231459.2805,17804.56003846154,9.0,2.0,1.0,0.6923076923076923,0
C113030,182,5,194091.919,38818.383799999996,4.0,1.0,1.0,0.2,1
C105282,87,10,152263.9365,15226.393650000002,9.0,3.0,0.0,0.6,0
C109407,150,3,52999.954,17666.65133333333,7.0,1.0,0.0,0.3333333333333333,1
C108104,215,3,60330.239,20110.07966666667,8.0,5.0,1.0,1.0,1
C114468,14,17,298952.216,17585.424470588237,8.0,2.0,2.0,0.29411764705882354,0
C114320,10,8,175358.7635,21919.8454375,7.0,3.0,2.0,0.75,0
C105117,84,5,35847.556,7169.511199999999,6.0,1.0,0.0,0.4,0
C112795,0,5,178816.943,35763.3886,4.0,1.0,1.0,0.4,0
C112645,681,2,56324.270000000004,28162.135000000002,6.0,3.0,0.0,0.0,1
C110567,7,7,144236.148,20605.163999999997,9.0,3.0,0.0,0.42857142857142855,0
C107588,113,4,101561.58,25390.395,3.0,1.0,2.0,0.0,1
C102545,21,3,43206.978,14402.326000000001,6.0,1.0,0.0,0.3333333333333333,0
C114995,1,3,44869.492,14956.497333333333,9.0,1.0,1.0,0.6666666666666666,0
C110615,137,1,14632.7835,14632.7835,4.0,2.0,0.0,1.0,1
C104547,24,9,190557.0815,21173.009055555554,15.0,1.0,1.0,0.6666666666666666,0
C102658,322,4,102544.4255,25636.106375000003,10.0,2.0,0.0,0.25,1
C111474,43,3,60706.58349999999,20235.52783333333,2.0,1.0,0.0,0.3333333333333333,0
C114430,305,5,45768.932,9153.7864,13.0,4.0,1.0,0.4,1
C101602,52,4,90162.2485,22540.562125,10.0,4.0,0.0,0.5,0
C107576,165,4,128661.332,32165.333,9.0,5.0,1.0,0.25,1
C101359,22,16,502444.3085,31402.76928125,4.0,2.0,2.0,0.4375,0
C109559,276,3,70155.19200000001,23385.064000000002,8.0,2.0,0.0,0.3333333333333333,1
C109510,49,2,23346.0405,11673.02025,10.0,4.0,0.0,1.0,0
C102947,8,12,351122.501,29260.208416666665,10.0,5.0,2.0,0.4166666666666667,0
C103781,51,10,140761.868,14076.1868,12.0,1.0,2.0,0.3,0
C111349,12,4,36229.272000000004,9057.318000000001,9.0,2.0,0.0,0.5,0
C111033,37,5,94550.79449999999,18910.1589,5.0,2.0,1.0,0.6,0
C102272,4,4,60631.7445,15157.936125,6.0,2.0,0.0,1.0,0
C105284,320,1,9157.0,9157.0,8.0,1.0,0.0,0.0,1
C103320,279,1,5892.03,5892.03,7.0,2.0,0.0,0.0,1
C111287,146,14,369746.0125,26410.429464285717,7.0,2.0,1.0,0.5714285714285714,1
C111733,100,8,263552.167,32944.020875,6.0,1.0,1.0,0.625,1
C104223,32,3,41247.8065,13749.268833333334,9.0,5.0,1.0,0.6666666666666666,0
C108352,34,13,268573.0255,20659.463499999998,12.0,6.0,3.0,0.6153846153846154,0
C100760,172,6,175716.1975,29286.032916666667,9.0,5.0,1.0,0.6666666666666666,1
C109031,157,3,75006.01599999999,25002.005333333334,7.0,1.0,0.0,0.3333333333333333,1
C101628,258,1,21648.08,21648.08,8.0,3.0,0.0,0.0,1
C111529,91,12,216521.34649999999,18043.445541666664,9.0,2.0,3.0,0.3333333333333333,1
C111362,10,21,503797.799,23990.37138095238,15.0,4.0,4.0,0.47619047619047616,0
C104429,55,3,109473.8565,36491.2855,8.0,3.0,0.0,0.3333333333333333,0
C102873,33,5,136016.763,27203.352600000002,7.0,2.0,1.0,0.2,0
C112270,4,5,106105.107,21221.0214,8.0,2.0,0.0,0.6,0
C112755,14,9,220161.1955,24462.355055555556,10.0,2.0,3.0,0.5555555555555556,0
C100660,21,4,88027.02,22006.754999999997,5.0,1.0,2.0,0.0,0
C110120,79,13,138430.6255,10648.509653846153,13.0,5.0,3.0,0.6923076923076923,0
C108829,20,5,135358.3,27071.659999999996,17.0,5.0,2.0,0.0,0
C101530,3,2,23958.464,11979.232,10.0,2.0,0.0,1.0,0
C113418,16,5,65979.137,13195.8274,7.0,2.0,0.0,0.6,0
C111516,39,4,69647.0275,17411.756875,9.0,1.0,0.0,0.5,0
C109388,307,1,22316.472,22316.472,9.0,3.0,0.0,1.0,1
C108640,52,3,112278.87349999999,37426.29116666666,14.0,6.0,0.0,0.6666666666666666,0
C106849,0,6,94225.29149999999,15704.215250000001,11.0,1.0,0.0,0.8333333333333334,0
C112354,78,2,23429.312,11714.656,6.0,1.0,0.0,0.5,0
C105209,2,18,364495.423,20249.745722222222,5.0,3.0,5.0,0.4444444444444444,0
C112243,49,2,36515.6275,18257.81375,10.0,2.0,0.0,1.0,0
C110149,93,2,39597.26,19798.63,5.0,1.0,1.0,0.0,1
C103928,226,1,84030.29299999999,84030.29299999999,13.0,9.0,1.0,1.0,1
C112299,30,2,12556.269,6278.1345,3.0,0.0,0.0,0.5,0
C104336,22,14,253177.742,18084.124428571427,11.0,7.0,2.0,0.7142857142857143,0
C110051,11,5,121018.835,24203.767,12.0,1.0,2.0,0.6,0
C104782,19,3,38584.485,12861.495,5.0,2.0,1.0,1.0,0
C114384,31,3,39878.9705,13292.990166666668,12.0,1.0,1.0,0.6666666666666666,0
C111119,-1,10,196100.97149999999,19610.097149999998,19.0,1.0,4.0,0.6,0
C113663,172,1,31139.523,31139.523,9.0,3.0,1.0,1.0,1
C111291,35,7,197467.765,28209.680714285718,3.0,2.0,1.0,0.8571428571428571,0
C107826,67,8,160295.8335,20036.9791875,16.0,5.0,3.0,0.75,0
C104935,152,6,137003.464,22833.910666666667,6.0,4.0,6.0,0.3333333333333333,1
C110119,35,3,48678.8215,16226.273833333333,10.0,3.0,0.0,0.6666666666666666,0
C102667,58,2,13826.585,6913.2925,8.0,1.0,0.0,1.0,0
C109174,85,6,117043.57900000001,19507.263166666668,6.0,1.0,1.0,0.6666666666666666,0
C105703,74,8,154103.008,19262.876,5.0,1.0,3.0,0.875,0
C103725,0,10,203721.1195,20372.11195,9.0,3.0,2.0,0.7,0
C100177,12,7,80875.267,11553.609571428573,9.0,2.0,0.0,0.5714285714285714,0
C102097,26,3,96242.122,32080.707333333336,9.0,2.0,0.0,0.3333333333333333,0
C113197,26,6,183046.6425,30507.773749999997,9.0,2.0,3.0,0.5,0
C109371,96,9,203072.38450000001,22563.598277777775,10.0,4.0,1.0,0.3333333333333333,1
C112487,604,1,20777.489999999998,20777.489999999998,8.0,1.0,0.0,0.0,1
C102136,58,4,52147.080500000004,13036.770125000001,7.0,2.0,1.0,0.25,0
C108358,28,3,58537.414000000004,19512.471333333335,9.0,2.0,1.0,0.6666666666666666,0
C112148,24,4,75738.624,18934.656,6.0,1.0,0.0,0.25,0
C108464,209,2,31583.21,15791.605,7.0,3.0,0.0,0.5,1
C107839,9,7,186619.5255,26659.932214285713,8.0,4.0,2.0,0.42857142857142855,0
C113348,42,5,146489.047,29297.809400000006,9.0,3.0,1.0,0.6,0
C108438,44,17,407617.7025,23977.51191176471,14.0,3.0,1.0,0.4117647058823529,0
C105568,-1,8,173796.95249999998,21724.6190625,17.0,4.0,0.0,0.625,0
C114055,39,6,189456.22950000002,31576.03825,14.0,4.0,1.0,0.5,0
C103426,56,1,9939.3655,9939.3655,8.0,4.0,0.0,1.0,0
C112505,7,6,91391.3185,15231.886416666666,9.0,2.0,0.0,0.5,0
C108697,24,3,120279.963,40093.321,3.0,1.0,0.0,0.3333333333333333,0
C104344,36,10,225111.6645,22511.16645,6.0,2.0,2.0,0.6,0
C108923,481,3,64787.537,21595.845666666664,8.0,3.0,0.0,0.6666666666666666,1
C110173,28,6,154403.458,25733.90966666667,12.0,5.0,1.0,0.6666666666666666,0
C112577,184,7,157313.127,22473.30385714286,11.0,3.0,2.0,0.5714285714285714,1
C112705,24,4,96072.269,24018.06725,5.0,2.0,1.0,0.5,0
C103860,163,6,141643.5245,23607.254083333333,9.0,3.0,1.0,0.5,1
C105296,274,8,199636.0615,24954.5076875,12.0,3.0,1.0,0.25,1
C108950,254,2,43557.587999999996,21778.794,10.0,3.0,0.0,0.5,1
C113321,186,7,127205.5805,18172.225785714287,5.0,0.0,2.0,0.42857142857142855,1
C114855,8,11,250303.3295,22754.848136363635,8.0,2.0,1.0,0.7272727272727273,0
C106645,210,3,72951.643,24317.214333333333,9.0,2.0,1.0,0.3333333333333333,1
C112686,38,3,61901.601,20633.867,8.0,3.0,0.0,0.6666666666666666,0
C107526,93,4,51447.8345,12861.958625000001,9.0,3.0,0.0,0.5,1
C102984,66,14,354990.1175,25356.436964285713,3.0,0.0,2.0,0.5,0
C106990,45,3,54132.8415,18044.2805,11.0,1.0,1.0,0.6666666666666666,0
C112845,41,14,281944.229,20138.873499999998,5.0,0.0,5.0,0.42857142857142855,0
C105088,130,1,16248.48,16248.48,10.0,3.0,0.0,0.0,1
C107193,146,2,17088.97,8544.485,7.0,2.0,0.0,0.0,1
C109733,38,5,99126.9405,19825.3881,12.0,3.0,0.0,1.0,0
C112933,40,6,183128.4765,30521.41275,9.0,3.0,2.0,0.8333333333333334,0
C105884,15,7,152987.362,21855.337428571427,11.0,2.0,1.0,0.42857142857142855,0
C102862,27,3,86250.34,28750.11333333333,4.0,0.0,0.0,0.0,0
C111877,46,12,341083.329,28423.610750000003,5.0,1.0,6.0,0.3333333333333333,0
C102359,248,1,9735.544000000002,9735.544000000002,4.0,3.0,0.0,1.0,1
C108831,55,9,226944.3795,25216.042166666666,8.0,2.0,3.0,0.5555555555555556,0
C101102,61,7,147436.753,21062.393285714286,11.0,3.0,0.0,0.2857142857142857,0
C102026,139,1,21376.767,21376.767,8.0,5.0,0.0,1.0,1
C105051,563,2,35509.916,17754.958,14.0,2.0,0.0,0.5,1
C105923,55,2,26616.575999999997,13308.287999999999,7.0,1.0,0.0,0.5,0
C114077,39,3,51802.421500000004,17267.473833333333,10.0,2.0,0.0,0.6666666666666666,0
C110842,28,9,89781.3305,9975.70338888889,9.0,4.0,1.0,0.4444444444444444,0
C111350,50,9,215401.486,23933.498444444445,7.0,3.0,1.0,0.3333333333333333,0
C110469,163,8,175049.9885,21881.2485625,12.0,3.0,0.0,0.625,1
C113018,101,6,85474.6055,14245.767583333334,3.0,0.0,1.0,0.6666666666666666,1
C110262,32,4,118114.89,29528.7225,7.0,1.0,0.0,0.0,0
C109763,184,1,29199.584000000003,29199.584000000003,13.0,5.0,0.0,1.0,1
C107795,72,4,148756.68,37189.17,18.0,3.0,2.0,0.0,0
C114827,76,4,149883.7985,37470.949625,15.0,3.0,0.0,0.5,0
C100574,6,7,115174.1415,16453.448785714285,9.0,3.0,1.0,0.2857142857142857,0
C113809,35,5,47235.466,9447.0932,5.0,1.0,0.0,0.6,0
C114501,203,5,143656.022,28731.2044,8.0,2.0,1.0,0.8,1
C100869,24,4,75991.7065,18997.926625,7.0,5.0,1.0,0.75,0
C100362,16,3,50622.659,16874.219666666668,11.0,3.0,1.0,0.6666666666666666,0
C107271,162,6,115095.859,19182.643166666665,8.0,3.0,0.0,0.6666666666666666,1
C109411,6,5,136775.6845,27355.1369,9.0,1.0,0.0,0.6,0
C112911,48,2,31972.682500000003,15986.341250000001,11.0,4.0,0.0,0.5,0
C100413,29,2,60044.424999999996,30022.2125,10.0,1.0,0.0,0.5,0
C113824,50,4,122109.6175,30527.404375,5.0,3.0,4.0,0.5,0
C103348,61,2,14068.724000000002,7034.362000000001,11.0,3.0,0.0,0.5,0
C110951,504,2,70618.26,35309.130000000005,12.0,1.0,1.0,0.0,1
C102431,37,13,333734.665,25671.897307692307,8.0,3.0,4.0,0.7692307692307693,0
C104989,10,4,73693.36,18423.34,3.0,1.0,1.0,0.75,0
C111375,147,4,65773.832,16443.458000000002,8.0,2.0,0.0,0.5,1
C106167,4,2,40169.838,20084.919,13.0,3.0,2.0,0.5,0
C102606,46,2,48368.62,24184.309999999998,9.0,3.0,1.0,0.0,0
C114619,41,6,123503.70199999999,20583.950333333334,1.0,1.0,1.0,0.5,0
C113594,0,4,87420.669,21855.16725,11.0,3.0,0.0,0.5,0
C106571,31,9,105149.048,11683.227555555557,13.0,2.0,2.0,0.7777777777777778,0
C110001,57,4,56344.716,14086.179,4.0,0.0,1.0,0.5,0
C101484,50,2,19598.2175,9799.10875,11.0,1.0,0.0,0.5,0
C102157,66,18,395804.283,21989.126833333332,11.0,5.0,4.0,0.6111111111111112,0
C111878,209,5,88709.494,17741.898800000003,10.0,1.0,1.0,0.6,1
C103498,53,5,59140.3605,11828.072100000001,9.0,2.0,0.0,0.8,0
C111000,8,6,79508.1055,13251.350916666668,6.0,3.0,0.0,1.0,0
C105664,13,12,248807.579,20733.964916666668,4.0,1.0,0.0,0.8333333333333334,0
C107806,60,3,74465.56300000001,24821.854333333336,12.0,3.0,1.0,0.6666666666666666,0
C112307,11,7,151558.4,21651.2,13.0,5.0,0.0,0.42857142857142855,0
C114629,27,1,12643.673499999999,12643.673499999999,11.0,0.0,0.0,1.0,0
C100229,32,7,219004.3355,31286.333642857142,11.0,2.0,1.0,0.7142857142857143,0
C110384,46,6,130477.111,21746.185166666666,7.0,3.0,0.0,0.5,0
C112542,156,2,26260.53,13130.265,7.0,2.0,2.0,0.0,1
C105077,44,8,127278.7545,15909.8443125,8.0,2.0,2.0,0.625,0
C105065,13,3,89785.781,29928.593666666664,6.0,1.0,0.0,0.3333333333333333,0
C104927,16,4,180742.008,45185.502,13.0,2.0,2.0,0.5,0
C109982,139,11,253396.6595,23036.059954545457,5.0,2.0,2.0,0.36363636363636365,1
C106641,589,1,41591.087999999996,41591.087999999996,6.0,1.0,0.0,1.0,1
C110246,222,2,24036.47,12018.235,7.0,3.0,0.0,0.0,1
C105883,3,5,89895.16500000001,17979.033000000003,9.0,3.0,0.0,0.4,0
C100879,31,6,118318.2475,19719.707916666666,9.0,5.0,1.0,0.5,0
C101051,185,5,183554.652,36710.9304,11.0,3.0,0.0,0.4,1
C109223,66,8,157554.1315,19694.2664375,4.0,1.0,4.0,0.5,0
C104902,61,3,55678.5325,18559.510833333334,8.0,2.0,1.0,0.6666666666666666,0
C107268,19,4,84939.686,21234.921499999997,6.0,1.0,0.0,0.25,0
C110789,118,5,56404.952000000005,11280.9904,5.0,1.0,1.0,0.6,1
C101220,32,6,121359.607,20226.601166666667,10.0,2.0,0.0,0.5,0
C106427,56,4,110294.01000000001,27573.502500000002,7.0,1.0,0.0,0.75,0
C114464,383,1,12809.304,12809.304,5.0,1.0,0.0,1.0,1
C102768,59,6,183357.2465,30559.541083333334,3.0,1.0,0.0,0.6666666666666666,0
C103564,11,15,379665.4575,25311.0305,4.0,1.0,1.0,0.5333333333333333,0
C103399,130,5,93310.5425,18662.1085,10.0,1.0,1.0,0.4,1
C109273,3,6,148405.9375,24734.322916666668,16.0,4.0,1.0,0.6666666666666666,0
C100931,14,17,257879.342,15169.37305882353,7.0,2.0,4.0,0.7647058823529411,0
C112117,1,6,98728.5095,16454.751583333335,5.0,1.0,1.0,0.5,0
C104938,14,5,97798.421,19559.6842,2.0,0.0,1.0,0.6,0
C112916,10,3,49826.212999999996,16608.737666666668,8.0,4.0,0.0,0.6666666666666666,0
C105506,262,7,121427.96500000001,17346.852142857144,13.0,6.0,1.0,0.8571428571428571,1
C103351,58,3,66654.098,22218.032666666666,3.0,0.0,1.0,0.3333333333333333,0
C107392,71,3,53127.736,17709.245333333332,13.0,0.0,1.0,0.3333333333333333,0
C103783,0,6,55743.5365,9290.589416666668,7.0,5.0,0.0,1.0,0
C109002,298,5,92186.333,18437.2666,7.0,2.0,0.0,0.2,1
C109257,13,6,78832.7425,13138.790416666665,8.0,5.0,0.0,0.8333333333333334,0
C112204,20,4,70382.8545,17595.713625,8.0,4.0,0.0,0.5,0
C103514,138,8,173476.8895,21684.6111875,10.0,2.0,0.0,0.375,1
C107043,274,2,50993.4065,25496.70325,11.0,4.0,0.0,1.0,1
C114492,15,2,47397.261,23698.6305,3.0,0.0,1.0,0.5,0
C110926,54,3,77031.25,25677.083333333332,9.0,3.0,0.0,0.0,0
C114719,394,2,50829.369,25414.684500000003,8.0,0.0,1.0,0.5,1
C113969,45,8,185830.26,23228.7825,6.0,1.0,2.0,0.375,0
C109203,32,9,205801.316,22866.81288888889,10.0,1.0,2.0,0.4444444444444444,0
C104019,73,1,23906.8535,23906.8535,8.0,2.0,0.0,1.0,0
C110477,137,5,79872.264,15974.4528,9.0,4.0,1.0,0.8,1
C106306,340,3,37018.9205,12339.640166666666,5.0,2.0,0.0,0.6666666666666666,1
C100682,344,1,28853.760000000002,28853.760000000002,11.0,2.0,1.0,0.0,1
C113011,43,7,141396.556,20199.507999999998,15.0,7.0,0.0,0.2857142857142857,0
C113005,1,5,107552.5135,21510.5027,6.0,3.0,0.0,0.4,0
C108940,10,6,102890.79,17148.465,6.0,3.0,1.0,0.5,0
C104084,-1,11,294472.26800000004,26770.20618181818,8.0,5.0,1.0,0.45454545454545453,0
C100425,19,4,111733.01,27933.2525,11.0,3.0,0.0,0.0,0
C100019,393,3,55448.167,18482.722333333335,13.0,6.0,2.0,0.6666666666666666,1
C101087,258,1,7370.043999999999,7370.043999999999,10.0,2.0,0.0,1.0,1
C105447,1,11,258861.343,23532.849363636367,9.0,4.0,1.0,0.2727272727272727,0
C114461,0,1,36660.032999999996,36660.032999999996,12.0,1.0,0.0,1.0,0
C103150,681,1,15376.36,15376.36,15.0,3.0,0.0,1.0,1
C114032,0,4,132561.58500000002,33140.396250000005,11.0,1.0,0.0,0.75,0
C104855,6,9,156458.5235,17384.28038888889,4.0,1.0,2.0,0.4444444444444444,0
C103695,19,9,282620.38649999996,31402.265166666664,7.0,3.0,2.0,0.5555555555555556,0
C102397,78,2,19249.888,9624.944,8.0,4.0,0.0,0.5,0
C105172,84,10,212708.668,21270.8668,10.0,2.0,2.0,0.5,0
C111203,64,4,80239.02,20059.754999999997,6.0,1.0,1.0,0.5,0
C111065,37,2,29624.042,14812.021,7.0,4.0,0.0,0.5,0
C108928,22,23,546494.911,23760.648304347826,13.0,4.0,7.0,0.4782608695652174,0
C109631,148,2,94693.0895,47346.54475,13.0,4.0,1.0,0.5,1
C102669,173,1,38935.185,38935.185,8.0,2.0,0.0,1.0,1
C104316,41,4,62316.991,15579.247749999999,10.0,2.0,1.0,0.25,0
C103748,13,6,84481.8815,14080.313583333334,5.0,0.0,1.0,0.6666666666666666,0
C101136,168,13,192448.5275,14803.732884615385,6.0,2.0,3.0,0.5384615384615384,1
C107840,3,16,309320.089,19332.5055625,6.0,1.0,0.0,0.625,0
C105099,5,6,99696.14050000001,16616.023416666667,4.0,1.0,1.0,0.3333333333333333,0
C110312,16,7,119321.65000000001,17045.95,7.0,2.0,2.0,0.7142857142857143,0
C106259,34,5,114113.935,22822.787000000004,9.0,2.0,1.0,0.6,0
C104267,137,4,46284.832,11571.208,11.0,3.0,0.0,0.25,1
C104571,41,5,138770.095,27754.019,6.0,0.0,1.0,0.6,0
C109655,1,11,216560.8485,19687.349863636362,13.0,3.0,5.0,0.45454545454545453,0
C103266,92,7,140299.589,20042.79842857143,5.0,1.0,2.0,0.42857142857142855,1
C109849,37,6,108767.052,18127.842,10.0,4.0,0.0,0.3333333333333333,0
C107007,98,4,75288.6795,18822.169875,13.0,2.0,2.0,0.5,1
C104819,106,5,147444.555,29488.911,8.0,3.0,1.0,0.6,1
C110049,0,6,142846.321,23807.72016666667,8.0,0.0,2.0,0.5,0
C100475,4,7,110345.859,15763.694142857143,6.0,2.0,1.0,0.5714285714285714,0
C105452,176,1,7761.924000000001,7761.924000000001,5.0,1.0,0.0,1.0,1
C103919,41,7,141055.0305,20150.71864285714,9.0,1.0,0.0,0.7142857142857143,0
C103452,15,6,110824.76449999999,18470.79408333333,11.0,4.0,0.0,0.5,0
C102741,35,4,52742.236000000004,13185.559000000001,6.0,1.0,0.0,0.75,0
C114392,68,6,165339.155,27556.525833333333,6.0,2.0,2.0,0.6666666666666666,0
C105846,175,2,76718.312,38359.156,8.0,2.0,0.0,0.5,1
C100748,58,3,72397.8725,24132.624166666665,12.0,3.0,0.0,0.3333333333333333,0
C110868,-1,14,273426.74199999997,19530.48157142857,10.0,4.0,2.0,0.5714285714285714,0
C113644,36,2,30876.852000000003,15438.426000000001,8.0,3.0,0.0,0.5,0
C102573,64,7,89177.4085,12739.629785714284,11.0,4.0,0.0,0.5714285714285714,0
C105177,67,3,78728.1585,26242.719499999996,10.0,2.0,0.0,0.6666666666666666,0
C103416,139,1,19370.472,19370.472,7.0,1.0,0.0,1.0,1
C103278,288,2,22695.214,11347.607,9.0,2.0,0.0,0.5,1
C112685,457,3,17787.986,5929.328666666667,8.0,2.0,0.0,0.6666666666666666,1
C110780,145,7,122974.797,17567.828142857143,11.0,3.0,4.0,0.14285714285714285,1
C112387,105,2,42493.435,21246.7175,5.0,1.0,0.0,0.5,1
C110183,20,8,227103.80849999998,28387.976062499998,12.0,2.0,1.0,0.75,0
C109813,373,3,93091.7645,31030.58816666667,10.0,4.0,2.0,0.6666666666666666,1
C108789,2,3,147837.071,49279.02366666667,3.0,0.0,0.0,0.3333333333333333,0
C106301,174,5,78097.249,15619.449800000002,9.0,3.0,2.0,0.4,1
C102045,211,5,91164.541,18232.908199999998,3.0,0.0,0.0,0.6,1
C108117,125,1,2079.288,2079.288,9.0,1.0,0.0,1.0,1
C102363,19,6,68527.32949999999,11421.221583333332,10.0,3.0,0.0,0.5,0
C106493,201,6,130578.739,21763.123166666668,7.0,1.0,1.0,0.6666666666666666,1
C107217,11,7,98822.035,14117.433571428572,16.0,5.0,1.0,0.8571428571428571,0
C105412,49,4,77658.56,19414.64,10.0,1.0,1.0,0.5,0
