customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total_score,rfm_segment
C100200,410,1,17130.0,1,1,1,3,Lost
C100201,286,3,66148.926,2,3,4,9,At Risk
C100202,59,11,230141.24349999998,4,5,5,14,Champions
C100203,293,2,57673.353,1,2,3,6,Hibernating
C100206,57,5,146885.09100000001,4,4,5,13,Champions
C100207,1,1,27145.129999999997,5,1,2,8,New Customers
C100209,132,1,10606.901999999998,3,1,1,5,Hibernating
C100210,84,4,59259.6605,3,4,3,10,Loyal Customers
C100212,108,3,61070.823000000004,3,3,3,9,Loyal Customers
C100213,7,1,16973.54,5,1,1,7,New Customers
C100215,25,8,157832.0185,4,5,5,14,Champions
C100216,895,1,8044.71,1,1,1,3,Lost
C100217,75,3,64855.54,3,3,4,10,Loyal Customers
C100218,626,1,19186.99,1,1,2,4,Lost
C100220,310,3,68882.519,1,3,4,8,At Risk
C100221,10,7,129141.3535,5,5,5,15,Champions
C100222,70,2,49924.655999999995,3,2,3,8,Potential Loyalists
C100223,428,1,29382.255,1,1,2,4,Lost
C100224,96,1,10727.99,3,1,1,5,Hibernating
C100225,401,3,83633.766,1,3,4,8,At Risk
C100226,387,3,57821.538,1,3,3,7,At Risk
C100227,17,4,63687.233,5,4,4,13,Champions
C100229,32,7,219004.3355,4,5,5,14,Champions
C100230,39,6,143522.36800000002,4,5,5,14,Champions
C100232,8,7,167377.87649999998,5,5,5,15,Champions
C100235,34,3,59331.8035,4,3,3,10,Loyal Customers
C100236,2,2,13602.990999999998,5,2,1,8,New Customers
C100238,11,2,45227.992,5,2,3,10,New Customers
C100239,69,1,37763.13,3,1,3,7,Potential Loyalists
C100241,91,2,77898.789,3,2,4,9,Potential Loyalists
C100243,44,3,57092.489,4,3,3,10,Loyal Customers
C100244,8,3,38474.421500000004,5,3,3,11,Loyal Customers
C100245,84,5,74606.3625,3,4,4,11,Loyal Customers
C100246,152,1,23733.198,2,1,2,5,Lost
C100247,275,1,17119.627,2,1,1,4,Lost
C100249,232,2,29624.574,2,2,2,6,Lost
C100250,424,4,80469.8125,1,4,4,9,Cannot Lose Them
C100251,27,4,55027.393,4,4,3,11,Loyal Customers
C100252,351,2,11996.35,1,2,1,4,Lost
C100253,20,1,29593.15,5,1,2,8,New Customers
C100254,43,4,93262.6915,4,4,4,12,Champions
C100258,37,1,9866.7575,4,1,1,6,New Customers
C100259,63,2,42854.8575,3,2,3,8,Potential Loyalists
C100260,51,1,63055.18,4,1,3,8,New Customers
C100261,102,2,39283.192,3,2,3,8,Potential Loyalists
C100262,100,3,35586.60799999999,3,3,2,8,Loyal Customers
C100263,100,1,5008.29,3,1,1,5,Hibernating
C100264,194,1,4378.46,2,1,1,4,Lost
C100266,11,3,77640.7945,5,3,4,12,Loyal Customers
C100267,312,3,67430.5545,1,3,4,8,At Risk
C100268,150,1,11986.296000000002,2,1,1,4,Lost
C100270,433,2,33467.206,1,2,2,5,Lost
C100271,14,5,89004.131,5,4,4,13,Champions
C100272,481,3,67850.60800000001,1,3,4,8,At Risk
C100273,80,4,154825.125,3,4,5,12,Loyal Customers
C100275,85,2,38664.8705,3,2,3,8,Potential Loyalists
C100277,106,2,83741.758,3,2,4,9,Potential Loyalists
C100278,315,5,84033.766,1,4,4,9,Cannot Lose Them
C100281,81,1,24578.067499999997,3,1,2,6,Hibernating
C100283,167,1,11491.789999999999,2,1,1,4,Lost
C100284,0,7,157844.289,5,5,5,15,Champions
C100285,50,3,85208.69750000001,4,3,4,11,Loyal Customers
C100287,125,4,47003.812,3,4,3,10,Loyal Customers
C100288,723,1,41195.382,1,1,3,5,Hibernating
C100290,0,1,18028.9335,5,1,1,7,New Customers
C100291,140,1,16023.9365,2,1,1,4,Lost
C100293,214,1,9625.230000000001,2,1,1,4,Lost
C100294,84,1,9578.583999999999,3,1,1,5,Hibernating
C100295,40,7,149497.246,4,5,5,14,Champions
C100296,147,1,13094.6,2,1,1,4,Lost
C100297,19,8,165369.046,5,5,5,15,Champions
C100298,72,15,235427.8285,3,5,5,13,Loyal Customers
C100299,12,3,27996.120000000003,5,3,2,10,Loyal Customers
C100300,179,1,13475.4,2,1,1,4,Lost
C100301,275,3,47853.56,2,3,3,8,At Risk
C100303,569,3,58018.964,1,3,3,7,At Risk
C100306,127,3,77310.746,3,3,4,10,Loyal Customers
C100307,28,1,36558.92,4,1,2,7,New Customers
C100308,211,4,72802.583,2,4,4,10,Cannot Lose Them
C100310,487,1,102832.07999999999,1,1,4,6,Hibernating
C100312,44,12,191244.2345,4,5,5,14,Champions
C100313,237,2,53394.53600000001,2,2,3,7,Hibernating
C100314,748,1,22947.14,1,1,2,4,Lost
C100315,138,1,34238.48,3,1,2,6,Hibernating
C100316,127,1,2393.468,3,1,1,5,Hibernating
C100318,229,1,0.0,2,1,1,4,Lost
C100320,256,2,40964.886,2,2,3,7,Hibernating
C100321,29,4,136835.0065,4,4,5,13,Champions
C100323,118,3,16749.023,3,3,1,7,Loyal Customers
C100325,41,3,80535.12800000001,4,3,4,11,Loyal Customers
C100326,13,1,13685.45,5,1,1,7,New Customers
C100327,77,4,43227.5035,3,4,3,10,Loyal Customers
C100329,177,2,23003.368500000004,2,2,2,6,Lost
C100330,334,1,21808.52,1,1,2,4,Lost
C100331,22,1,1352.33,4,1,1,6,New Customers
C100332,80,3,103971.656,3,3,4,10,Loyal Customers
C100333,0,3,106018.326,5,3,4,12,Loyal Customers
C100337,186,1,17213.28,2,1,1,4,Lost
C100338,403,1,28719.6685,1,1,2,4,Lost
C100339,472,1,69596.334,1,1,4,6,Hibernating
C100340,143,5,55665.8975,2,4,3,9,At Risk
C100341,92,4,92048.821,3,4,4,11,Loyal Customers
C100344,0,5,99039.028,5,4,4,13,Champions
C100346,282,1,558.9174999999999,2,1,1,4,Lost
C100348,417,5,30319.2515,1,4,2,7,At Risk
C100349,186,4,100783.9745,2,4,4,10,Cannot Lose Them
C100350,207,1,17146.84,2,1,1,4,Lost
C100351,23,3,91363.602,4,3,4,11,Loyal Customers
C100352,190,1,0.0,2,1,1,4,Lost
C100353,4,5,114519.0375,5,4,5,14,Champions
C100356,31,1,11273.8305,4,1,1,6,New Customers
C100357,20,5,89630.7285,5,4,4,13,Champions
C100358,12,5,57575.3125,5,4,3,12,Loyal Customers
C100359,1,7,73703.4815,5,5,4,14,Champions
C100360,46,5,78264.68650000001,4,4,4,12,Champions
C100362,16,3,50622.659,5,3,3,11,Loyal Customers
C100363,439,2,24078.597,1,2,2,5,Lost
C100364,61,3,47405.201,4,3,3,10,Loyal Customers
C100365,283,2,43160.13100000001,2,2,3,7,Hibernating
C100367,409,1,14977.619999999999,1,1,1,3,Lost
C100369,81,2,33924.270000000004,3,2,2,7,Hibernating
C100372,0,10,92040.714,5,5,4,14,Champions
C100373,14,4,70191.70300000001,5,4,4,13,Champions
C100374,-1,6,129428.0435,5,5,5,15,Champions
C100375,152,7,182734.349,2,5,5,12,Cannot Lose Them
C100376,-1,5,59512.3745,5,4,3,12,Loyal Customers
C100377,8,1,8002.75,5,1,1,7,New Customers
C100379,31,2,25096.853499999997,4,2,2,8,New Customers
C100380,67,6,151301.41,3,5,5,13,Loyal Customers
C100381,151,1,10356.7655,2,1,1,4,Lost
C100382,9,1,4675.161499999999,5,1,1,7,New Customers
C100383,310,1,16721.55,1,1,1,3,Lost
C100384,93,1,11387.187,3,1,1,5,Hibernating
C100385,9,6,117243.8895,5,5,5,15,Champions
C100386,344,1,14262.122,1,1,1,3,Lost
C100387,6,7,135211.3045,5,5,5,15,Champions
C100388,706,1,15792.0,1,1,1,3,Lost
C100390,70,4,140003.5195,3,4,5,12,Loyal Customers
C100391,157,2,53961.63,2,2,3,7,Hibernating
C100392,15,1,8796.7815,5,1,1,7,New Customers
C100394,102,3,58552.872,3,3,3,9,Loyal Customers
C100395,-1,5,131645.164,5,4,5,14,Champions
C100399,209,6,106679.4105,2,5,4,11,Cannot Lose Them
C100400,489,2,55600.656,1,2,3,6,Hibernating
C100401,236,4,78651.1455,2,4,4,10,Cannot Lose Them
C100403,839,1,2946.96,1,1,1,3,Lost
C100404,12,4,85931.85,5,4,4,13,Champions
C100407,294,1,8624.936,1,1,1,3,Lost
C100408,20,2,22772.5635,5,2,2,9,New Customers
C100412,476,1,25822.18,1,1,2,4,Lost
C100413,29,2,60044.424999999996,4,2,3,9,New Customers
C100417,88,4,48339.952,3,4,3,10,Loyal Customers
C100418,113,4,90139.725,3,4,4,11,Loyal Customers
C100419,31,5,55587.608,4,4,3,11,Loyal Customers
C100420,37,4,43189.8245,4,4,3,11,Loyal Customers
C100421,50,1,25429.536,4,1,2,7,New Customers
C100424,148,3,28119.35,2,3,2,7,At Risk
C100425,19,4,111733.01,5,4,5,14,Champions
C100428,432,2,24752.519999999997,1,2,2,5,Lost
C100430,67,3,62392.78799999999,3,3,3,9,Loyal Customers
C100431,5,4,74258.8255,5,4,4,13,Champions
C100432,44,3,26319.5685,4,3,2,9,Loyal Customers
C100433,39,1,51681.68,4,1,3,8,New Customers
C100435,15,4,46624.6035,5,4,3,12,Loyal Customers
C100436,144,2,40675.54,2,2,3,7,Hibernating
C100438,117,1,23241.46,3,1,2,6,Hibernating
C100439,158,3,31410.851,2,3,2,7,At Risk
C100443,113,5,70665.3255,3,4,4,11,Loyal Customers
C100446,174,1,32891.43,2,1,2,5,Lost
C100448,12,3,22880.248,5,3,2,10,Loyal Customers
C100449,57,1,9451.511999999999,4,1,1,6,New Customers
C100450,111,7,223778.236,3,5,5,13,Loyal Customers
C100452,-1,3,44176.08,5,3,3,11,Loyal Customers
C100453,584,1,76985.577,1,1,4,6,Hibernating
C100456,248,2,27953.1985,2,2,2,6,Lost
C100458,127,4,58156.074,3,4,3,10,Loyal Customers
C100459,87,4,137560.557,3,4,5,12,Loyal Customers
C100460,263,6,144854.13150000002,2,5,5,12,Cannot Lose Them
C100461,147,8,239386.731,2,5,5,12,Cannot Lose Them
C100462,24,12,246333.6685,4,5,5,14,Champions
C100463,64,1,9533.49,3,1,1,5,Hibernating
C100464,237,1,59767.093499999995,2,1,3,6,Hibernating
C100465,121,1,36838.808000000005,3,1,2,6,Hibernating
C100466,37,8,133617.742,4,5,5,14,Champions
C100467,15,1,6846.33,5,1,1,7,New Customers
C100468,485,1,11090.25,1,1,1,3,Lost
C100470,27,1,25002.935999999998,4,1,2,7,New Customers
C100471,195,1,30420.36,2,1,2,5,Lost
C100473,16,5,94391.8225,5,4,4,13,Champions
C100475,4,7,110345.859,5,5,5,15,Champions
C100477,2,9,146348.6795,5,5,5,15,Champions
C100478,85,4,60972.05449999999,3,4,3,10,Loyal Customers
C100480,179,1,10311.19,2,1,1,4,Lost
C100482,257,2,26200.2975,2,2,2,6,Lost
C100483,12,1,4970.184,5,1,1,7,New Customers
C100488,49,4,105985.129,4,4,4,12,Champions
C100490,416,3,48544.148,1,3,3,7,At Risk
C100491,24,6,103786.5585,4,5,4,13,Champions
C100492,286,3,54680.8515,2,3,3,8,At Risk
C100494,192,1,12798.723,2,1,1,4,Lost
C100495,141,1,31642.771,2,1,2,5,Lost
C100496,146,2,13645.44,2,2,1,5,Lost
C100498,29,8,188940.614,4,5,5,14,Champions
C100501,783,1,6206.862999999999,1,1,1,3,Lost
C100503,39,9,147634.131,4,5,5,14,Champions
C100504,235,9,195296.708,2,5,5,12,Cannot Lose Them
C100505,123,5,36426.770000000004,3,4,2,9,Loyal Customers
C100506,752,1,58581.619999999995,1,1,3,5,Hibernating
C100507,168,1,7350.12,2,1,1,4,Lost
C100508,93,3,51722.5265,3,3,3,9,Loyal Customers
C100509,204,1,17056.610999999997,2,1,1,4,Lost
C100510,7,1,27474.039,5,1,2,8,New Customers
C100512,0,2,36314.463,5,2,2,9,New Customers
C100514,168,1,13204.740000000002,2,1,1,4,Lost
C100515,6,1,34927.95,5,1,2,8,New Customers
C100516,80,2,18035.4045,3,2,1,6,Hibernating
C100517,109,2,24616.678999999996,3,2,2,7,Hibernating
C100518,68,2,46052.265999999996,3,2,3,8,Potential Loyalists
C100519,493,1,4342.536,1,1,1,3,Lost
C100521,44,2,64787.2055,4,2,4,10,New Customers
C100523,57,3,36370.8905,4,3,2,9,Loyal Customers
C100524,453,1,10516.423999999999,1,1,1,3,Lost
C100526,14,3,49293.278000000006,5,3,3,11,Loyal Customers
C100527,32,4,55024.5485,4,4,3,11,Loyal Customers
C100528,12,3,52827.721000000005,5,3,3,11,Loyal Customers
C100530,144,1,14118.234999999999,2,1,1,4,Lost
C100531,352,2,28535.592,1,2,2,5,Lost
C100532,107,5,98056.236,3,4,4,11,Loyal Customers
C100533,89,1,45950.94,3,1,3,7,Potential Loyalists
C100534,196,3,122198.872,2,3,5,10,At Risk
C100535,454,8,209348.88150000002,1,5,5,11,Cannot Lose Them
C100537,161,2,53894.078,2,2,3,7,Hibernating
C100538,15,3,56190.8175,5,3,3,11,Loyal Customers
C100539,353,3,66406.34449999999,1,3,4,8,At Risk
C100540,47,5,86505.2205,4,4,4,12,Champions
C100541,16,9,294199.2025,5,5,5,15,Champions
C100542,746,2,27144.864,1,2,2,5,Lost
C100543,154,2,104149.853,2,2,4,8,Hibernating
C100544,7,7,226481.37,5,5,5,15,Champions
C100546,162,1,11195.77,2,1,1,4,Lost
C100547,143,1,55812.47,2,1,3,6,Hibernating
C100548,72,5,133564.1605,3,4,5,12,Loyal Customers
C100549,105,4,180320.6115,3,4,5,12,Loyal Customers
C100551,358,2,20357.819499999998,1,2,2,5,Lost
C100552,-1,3,102941.852,5,3,4,12,Loyal Customers
C100553,281,1,18424.81,2,1,2,5,Lost
C100554,16,3,73056.92800000001,5,3,4,12,Loyal Customers
C100556,76,3,81748.688,3,3,4,10,Loyal Customers
C100557,47,2,37880.0785,4,2,3,9,New Customers
C100558,86,3,87634.0475,3,3,4,10,Loyal Customers
C100559,416,1,3183.5984999999996,1,1,1,3,Lost
C100560,503,1,6232.72,1,1,1,3,Lost
C100561,106,7,171290.8745,3,5,5,13,Loyal Customers
C100562,176,4,110118.257,2,4,5,11,Cannot Lose Them
C100563,4,1,6167.06,5,1,1,7,New Customers
C100565,557,5,109566.435,1,4,5,10,Cannot Lose Them
C100566,108,6,108327.0325,3,5,5,13,Loyal Customers
C100567,96,1,8304.2,3,1,1,5,Hibernating
C100568,95,3,147568.83800000002,3,3,5,11,Loyal Customers
C100569,7,3,69659.928,5,3,4,12,Loyal Customers
C100570,1,13,221438.2055,5,5,5,15,Champions
C100571,112,1,13089.492,3,1,1,5,Hibernating
C100572,487,3,104629.795,1,3,4,8,At Risk
C100573,27,5,59037.0235,4,4,3,11,Loyal Customers
C100574,6,7,115174.1415,5,5,5,15,Champions
C100575,85,4,93349.414,3,4,4,11,Loyal Customers
C100576,46,2,112904.89600000001,4,2,5,11,New Customers
C100577,10,2,27192.132,5,2,2,9,New Customers
C100578,162,1,11689.12,2,1,1,4,Lost
C100579,754,1,23993.65,1,1,2,4,Lost
C100580,149,2,30044.42,2,2,2,6,Lost
C100581,593,3,94754.808,1,3,4,8,At Risk
C100583,4,6,137591.1295,5,5,5,15,Champions
C100584,238,2,27667.67,2,2,2,6,Lost
C100585,229,1,19777.93,2,1,2,5,Lost
C100586,155,2,43001.874,2,2,3,7,Hibernating
C100588,111,4,42511.662,3,4,3,10,Loyal Customers
C100589,27,2,36462.753,4,2,2,8,New Customers
C100590,491,1,17157.92,1,1,1,3,Lost
C100591,175,5,97867.58200000001,2,4,4,10,Cannot Lose Them
C100593,574,1,14729.579,1,1,1,3,Lost
C100595,193,1,69182.458,2,1,4,7,Hibernating
C100597,128,6,116502.454,3,5,5,13,Loyal Customers
C100598,237,4,73659.929,2,4,4,10,Cannot Lose Them
C100601,49,3,41377.524000000005,4,3,3,10,Loyal Customers
C100602,274,1,18566.02,2,1,2,5,Lost
C100603,57,1,2302.11,4,1,1,6,New Customers
C100604,45,2,80632.57,4,2,4,10,New Customers
C100605,153,1,17516.879,2,1,1,4,Lost
C100606,719,1,8786.6165,1,1,1,3,Lost
C100607,119,1,4058.28,3,1,1,5,Hibernating
C100608,70,6,179958.417,3,5,5,13,Loyal Customers
C100610,15,3,38832.7105,5,3,3,11,Loyal Customers
C100611,75,8,151620.20249999998,3,5,5,13,Loyal Customers
C100613,63,1,3020.8914999999997,3,1,1,5,Hibernating
C100614,26,1,4905.843,4,1,1,6,New Customers
C100615,63,1,12993.77,3,1,1,5,Hibernating
C100616,804,2,21873.464999999997,1,2,2,5,Lost
C100617,5,5,65492.9075,5,4,4,13,Champions
C100618,194,2,62445.85800000001,2,2,3,7,Hibernating
C100619,10,4,49385.87,5,4,3,12,Loyal Customers
C100620,281,1,39332.729999999996,2,1,3,6,Hibernating
C100621,345,1,16670.65,1,1,1,3,Lost
C100622,26,1,13864.19,4,1,1,6,New Customers
C100625,0,1,3158.896,5,1,1,7,New Customers
C100626,29,4,80920.57,4,4,4,12,Champions
C100627,36,2,63667.4,4,2,4,10,New Customers
C100628,98,4,183501.568,3,4,5,12,Loyal Customers
C100630,158,1,11348.776000000002,2,1,1,4,Lost
C100631,20,4,110862.411,5,4,5,14,Champions
C100632,4,2,57068.559499999996,5,2,3,10,New Customers
C100633,145,1,32259.2425,2,1,2,5,Lost
C100634,178,1,13260.65,2,1,1,4,Lost
C100635,28,2,44107.92,4,2,3,9,New Customers
C100636,0,2,76966.395,5,2,4,11,New Customers
C100637,30,1,9782.0,4,1,1,6,New Customers
C100639,17,1,2408.76,5,1,1,7,New Customers
C100640,60,2,26236.7865,4,2,2,8,New Customers
C100641,100,3,83979.80350000001,3,3,4,10,Loyal Customers
C100642,703,1,12350.16,1,1,1,3,Lost
C100643,281,2,27902.292999999998,2,2,2,6,Lost
C100646,165,5,50010.5305,2,4,3,9,At Risk
C100648,239,3,66387.2755,2,3,4,9,At Risk
C100649,14,6,182475.74,5,5,5,15,Champions
C100650,35,2,53862.729499999994,4,2,3,9,New Customers
C100651,80,1,28871.2955,3,1,2,6,Hibernating
C100652,449,2,39989.78,1,2,3,6,Hibernating
C100653,264,1,30047.5595,2,1,2,5,Lost
C100654,426,1,5245.77,1,1,1,3,Lost
C100655,609,1,0.0,1,1,1,3,Lost
C100656,3,5,124203.80200000001,5,4,5,14,Champions
C100658,80,1,12827.898000000001,3,1,1,5,Hibernating
C100660,21,4,88027.02,4,4,4,12,Champions
C100661,5,5,85784.767,5,4,4,13,Champions
C100662,215,1,21416.489999999998,2,1,2,5,Lost
C100666,121,2,25249.419,3,2,2,7,Hibernating
C100667,35,2,35877.936,4,2,2,8,New Customers
C100668,196,1,2816.7,2,1,1,4,Lost
C100669,155,3,56485.662000000004,2,3,3,8,At Risk
C100670,173,6,147052.1745,2,5,5,12,Cannot Lose Them
C100671,588,1,19444.13,1,1,2,4,Lost
C100675,114,2,29495.756000000005,3,2,2,7,Hibernating
C100676,2,3,61140.7005,5,3,3,11,Loyal Customers
C100678,119,4,46197.721,3,4,3,10,Loyal Customers
C100681,192,1,20923.884,2,1,2,5,Lost
C100682,344,1,28853.760000000002,1,1,2,4,Lost
C100685,525,1,29405.6,1,1,2,4,Lost
C100686,366,3,41936.559,1,3,3,7,At Risk
C100687,38,4,88790.71800000001,4,4,4,12,Champions
C100689,193,1,15660.960000000001,2,1,1,4,Lost
C100693,300,1,11309.16,1,1,1,3,Lost
C100694,-1,2,73632.8445,5,2,4,11,New Customers
C100695,198,1,37027.176,2,1,2,5,Lost
C100696,2,6,102390.086,5,5,4,14,Champions
C100697,201,2,37204.350000000006,2,2,2,6,Lost
C100699,255,1,36807.66,2,1,2,5,Lost
C100701,59,9,168295.08000000002,4,5,5,14,Champions
C100702,94,1,12741.777,3,1,1,5,Hibernating
C100703,3,2,40185.338,5,2,3,10,New Customers
C100704,73,1,21176.919,3,1,2,6,Hibernating
C100707,37,3,25253.870000000003,4,3,2,9,Loyal Customers
C100708,17,1,7226.55,5,1,1,7,New Customers
C100709,81,8,186798.3875,3,5,5,13,Loyal Customers
C100710,254,4,126141.17599999999,2,4,5,11,Cannot Lose Them
C100711,255,3,54707.209,2,3,3,8,At Risk
C100714,637,1,7852.59,1,1,1,3,Lost
C100715,2,6,142236.922,5,5,5,15,Champions
C100716,142,1,85091.86,2,1,4,7,Hibernating
C100718,176,1,11814.169999999998,2,1,1,4,Lost
